sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Tamara really exited those mountains.	Tamara ever exited those mountains.	-74.0	-74.0	-12.375	-12.375	False	False	semantics	npi_licensing
1	1	Karen could certainly boycott this association.	Karen could ever boycott this association.	-74.5	-74.5	-12.4375	-12.4375	False	False	semantics	npi_licensing
2	1	Every committee could often sell a river.	Every committee could ever sell a river.	-88.0	-87.5	-12.5625	-12.5	False	False	semantics	npi_licensing
3	1	Charles had often arrived at those restaurants.	Charles had ever arrived at those restaurants.	-88.0	-88.0	-12.5625	-12.5625	False	False	semantics	npi_licensing
4	1	Many skateboards also roll.	Many skateboards ever roll.	-62.0	-61.75	-12.4375	-12.375	False	False	semantics	npi_licensing
5	1	Some river really vaporizes.	Some river ever vaporizes.	-63.25	-63.0	-12.6875	-12.625	False	False	semantics	npi_licensing
6	1	Guy has really listened to all customers.	Guy has ever listened to all customers.	-87.0	-87.0	-12.375	-12.4375	False	True	semantics	npi_licensing
7	1	Mark certainly struggles.	Mark ever struggles.	-38.5	-38.0	-12.8125	-12.625	False	False	semantics	npi_licensing
8	1	Ladies also answer.	Ladies ever answer.	-49.5	-49.25	-12.375	-12.3125	False	False	semantics	npi_licensing
9	1	A driver has clearly taken many snakes.	A driver has ever taken many snakes.	-88.0	-88.0	-12.5625	-12.5625	False	False	semantics	npi_licensing
10	1	Homer certainly spins around.	Homer ever spins around.	-61.5	-61.5	-12.25	-12.3125	False	True	semantics	npi_licensing
11	1	That pepper might certainly go bad.	That pepper might ever go bad.	-74.5	-74.0	-12.4375	-12.375	False	False	semantics	npi_licensing
12	1	Some waiter clearly praised every documentary.	Some waiter ever praised every documentary.	-74.0	-74.0	-12.375	-12.375	False	False	semantics	npi_licensing
13	1	Janice really broke the chairs.	Janice ever broke the chairs.	-75.0	-75.0	-12.5	-12.5	False	False	semantics	npi_licensing
14	1	Andrew had certainly hugged Sonia.	Andrew had ever hugged Sonia.	-62.0	-61.75	-12.375	-12.3125	False	False	semantics	npi_licensing
15	1	This pedestrian also expects many screens to chip.	This pedestrian ever expects many screens to chip.	-100.5	-100.0	-12.5625	-12.5	False	False	semantics	npi_licensing
16	1	The people really escape from Carlos.	The people ever escape from Carlos.	-78.5	-78.0	-13.0625	-13.0	False	False	semantics	npi_licensing
17	1	The Borgias often write.	The Borgias ever write.	-63.5	-63.5	-12.75	-12.6875	False	False	semantics	npi_licensing
