sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	Ali is in the bakery. Ali sees the candle inside. Ali believes that the candle is in the bakery.	Ali is in the bakery. Ali sees the candle outside. Ali doubts that the candle is in the bakery.	-258.0	-258.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
1	1	Chao is in the shop. Chao sees the wheel inside. Chao believes that the wheel is in the shop.	Chao is in the shop. Chao sees the wheel outside. Chao doubts that the wheel is in the shop.	-292.0	-294.0	-11.6875	-11.75	True	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
2	1	Jesse is in the school. Jesse sees the truck inside. Jesse believes that the truck is in the school.	Jesse is in the school. Jesse sees the truck outside. Jesse doubts that the truck is in the school.	-270.0	-270.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
3	1	Li is in the hospital. Li sees the cooler inside. Li believes that the cooler is in the hospital.	Li is in the hospital. Li sees the cooler outside. Li doubts that the cooler is in the hospital.	-258.0	-258.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
4	1	Mohammed is in the gallery. Mohammed sees the volleyball inside. Mohammed believes that the volleyball is in the gallery.	Mohammed is in the gallery. Mohammed sees the volleyball outside. Mohammed doubts that the volleyball is in the gallery.	-270.0	-270.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
5	1	Alex successfully lied to Jesse that the truck was moved to the school. Jesse believes that the truck is in the school.	Alex successfully lied to Jesse that the truck was moved from the school. Jesse doubts that the truck is in the school.	-282.0	-282.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
6	1	Ali has learned that the candle was moved to the bakery. Ali believes that the candle is in the bakery.	Ali has learned that the candle was moved from the bakery. Ali doubts that the candle is in the bakery.	-258.0	-258.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
7	1	Ali moved the candle inside the bakery. Ali believes that the candle is in the bakery.	Ali moved the candle outside the bakery. Ali doubts that the candle is in the bakery.	-211.0	-211.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
8	1	Ali recently saw the candle inside the bakery. Earlier, Ali saw the candle inside the bank. Ali believes that the candle is in the bakery.	Ali recently saw the candle inside the bakery. Later, Ali saw the candle inside the bank. Ali doubts that the candle is in the bakery.	-340.0	-340.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
9	1	Ali was mistakenly informed that the candle was moved to the bakery. Ali believes that the candle is in the bakery.	Ali was mistakenly informed that the candle was moved from the bakery. Ali doubts that the candle is in the bakery.	-270.0	-270.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
10	1	Ali wishes that the candle was moved from the bakery. Ali believes that the candle is in the bakery.	Ali wishes that the candle was moved to the bakery. Ali doubts that the candle is in the bakery.	-246.0	-246.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
11	1	Carmen successfully lied to Mohammed that the volleyball was moved to the gallery. Mohammed believes that the volleyball is in the gallery.	Carmen successfully lied to Mohammed that the volleyball was moved from the gallery. Mohammed doubts that the volleyball is in the gallery.	-304.0	-304.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
12	1	Chao has learned that the wheel was moved to the shop. Chao believes that the wheel is in the shop.	Chao has learned that the wheel was moved from the shop. Chao doubts that the wheel is in the shop.	-282.0	-282.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
13	1	Chao moved the wheel inside the shop. Chao believes that the wheel is in the shop.	Chao moved the wheel outside the shop. Chao doubts that the wheel is in the shop.	-234.0	-234.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
14	1	Chao recently saw the wheel inside the shop. Earlier, Chao saw the wheel inside the zoo. Chao believes that the wheel is in the shop.	Chao recently saw the wheel inside the shop. Later, Chao saw the wheel inside the zoo. Chao doubts that the wheel is in the shop.	-374.0	-376.0	-11.6875	-11.75	True	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
15	1	Chao was mistakenly informed that the wheel was moved to the shop. Chao believes that the wheel is in the shop.	Chao was mistakenly informed that the wheel was moved from the shop. Chao doubts that the wheel is in the shop.	-292.0	-292.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
16	1	Chao wishes that the wheel was moved from the shop. Chao believes that the wheel is in the shop.	Chao wishes that the wheel was moved to the shop. Chao doubts that the wheel is in the shop.	-270.0	-270.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
17	1	Jesse has learned that the truck was moved to the school. Jesse believes that the truck is in the school.	Jesse has learned that the truck was moved from the school. Jesse doubts that the truck is in the school.	-270.0	-270.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
18	1	Jesse moved the truck inside the school. Jesse believes that the truck is in the school.	Jesse moved the truck outside the school. Jesse doubts that the truck is in the school.	-223.0	-223.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
19	1	Jesse recently saw the truck inside the school. Earlier, Jesse saw the truck inside the church. Jesse believes that the truck is in the school.	Jesse recently saw the truck inside the school. Later, Jesse saw the truck inside the church. Jesse doubts that the truck is in the school.	-352.0	-352.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
20	1	Jesse was mistakenly informed that the truck was moved to the school. Jesse believes that the truck is in the school.	Jesse was mistakenly informed that the truck was moved from the school. Jesse doubts that the truck is in the school.	-282.0	-282.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
21	1	Jesse wishes that the truck was moved from the school. Jesse believes that the truck is in the school.	Jesse wishes that the truck was moved to the school. Jesse doubts that the truck is in the school.	-258.0	-258.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
22	1	Li has learned that the cooler was moved to the hospital. Li believes that the cooler is in the hospital.	Li has learned that the cooler was moved from the hospital. Li doubts that the cooler is in the hospital.	-258.0	-258.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
23	1	Li moved the cooler inside the hospital. Li believes that the cooler is in the hospital.	Li moved the cooler outside the hospital. Li doubts that the cooler is in the hospital.	-211.0	-211.0	-11.75	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
24	1	Li recently saw the cooler inside the hospital. Earlier, Li saw the cooler inside the hotel. Li believes that the cooler is in the hospital.	Li recently saw the cooler inside the hospital. Later, Li saw the cooler inside the hotel. Li doubts that the cooler is in the hospital.	-340.0	-340.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
25	1	Li was mistakenly informed that the cooler was moved to the hospital. Li believes that the cooler is in the hospital.	Li was mistakenly informed that the cooler was moved from the hospital. Li doubts that the cooler is in the hospital.	-270.0	-270.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
26	1	Li wishes that the cooler was moved from the hospital. Li believes that the cooler is in the hospital.	Li wishes that the cooler was moved to the hospital. Li doubts that the cooler is in the hospital.	-246.0	-246.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
27	1	Maria successfully lied to Li that the cooler was moved to the hospital. Li believes that the cooler is in the hospital.	Maria successfully lied to Li that the cooler was moved from the hospital. Li doubts that the cooler is in the hospital.	-280.0	-280.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
28	1	Mohammed has learned that the volleyball was moved to the gallery. Mohammed believes that the volleyball is in the gallery.	Mohammed has learned that the volleyball was moved from the gallery. Mohammed doubts that the volleyball is in the gallery.	-270.0	-270.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
29	1	Mohammed moved the volleyball inside the gallery. Mohammed believes that the volleyball is in the gallery.	Mohammed moved the volleyball outside the gallery. Mohammed doubts that the volleyball is in the gallery.	-223.0	-223.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
30	1	Mohammed recently saw the volleyball inside the gallery. Earlier, Mohammed saw the volleyball inside the museum. Mohammed believes that the volleyball is in the gallery.	Mohammed recently saw the volleyball inside the gallery. Later, Mohammed saw the volleyball inside the museum. Mohammed doubts that the volleyball is in the gallery.	-352.0	-352.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
31	1	Mohammed was mistakenly informed that the volleyball was moved to the gallery. Mohammed believes that the volleyball is in the gallery.	Mohammed was mistakenly informed that the volleyball was moved from the gallery. Mohammed doubts that the volleyball is in the gallery.	-282.0	-282.0	-11.75	-11.75	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
32	1	Mohammed wishes that the volleyball was moved from the gallery. Mohammed believes that the volleyball is in the gallery.	Mohammed wishes that the volleyball was moved to the gallery. Mohammed doubts that the volleyball is in the gallery.	-258.0	-258.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
33	1	Wei successfully lied to Ali that the candle was moved to the bakery. Ali believes that the candle is in the bakery.	Wei successfully lied to Ali that the candle was moved from the bakery. Ali doubts that the candle is in the bakery.	-282.0	-282.0	-11.6875	-11.75	False	True	agent-properties	believe/doubt	Write a natural, coherent English sentence.
34	1	Yan successfully lied to Chao that the wheel was moved to the shop. Chao believes that the wheel is in the shop.	Yan successfully lied to Chao that the wheel was moved from the shop. Chao doubts that the wheel is in the shop.	-316.0	-316.0	-11.6875	-11.6875	False	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
35	1	Ali is in the bakery. Ali sees the rock inside. Ali believes that the rock is in the bakery.	Ali is in the bakery. Ali doesn't see the rock inside. Ali doubts that the rock is in the bakery.	-258.0	-282.0	-11.6875	-11.6875	True	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
36	1	Chao is in the shop. Chao sees the bed inside. Chao believes that the bed is in the shop.	Chao is in the shop. Chao doesn't see the bed inside. Chao doubts that the bed is in the shop.	-292.0	-316.0	-11.75	-11.75	True	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
37	1	Jesse is in the school. Jesse sees the truck inside. Jesse believes that the truck is in the school.	Jesse is in the school. Jesse doesn't see the truck inside. Jesse doubts that the truck is in the school.	-270.0	-294.0	-11.75	-11.75	True	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
38	1	Li is in the hospital. Li sees the piano inside. Li believes that the piano is in the hospital.	Li is in the hospital. Li doesn't see the piano inside. Li doubts that the piano is in the hospital.	-258.0	-282.0	-11.75	-11.6875	True	False	agent-properties	believe/doubt	Write a natural, coherent English sentence.
