sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Eric imagines himself taking every rug.	Eric imagines himself took every rug.	-79.5	-79.5	-11.375	-11.375	False	False	syntax/semantics	binding
1	1	Stacy imagines herself praising this actress.	Stacy imagines herself praises this actress.	-91.0	-91.5	-11.375	-11.4375	True	True	syntax/semantics	binding
2	1	All pedestrians think about themselves exploring museums.	All pedestrians think about themselves explored museums.	-79.0	-79.0	-11.3125	-11.25	False	False	syntax/semantics	binding
3	1	Cheryl is forgetting about herself thinking about Beverly.	Cheryl is forgetting about herself thought about Beverly.	-102.0	-102.0	-11.3125	-11.3125	False	False	syntax/semantics	binding
4	1	Some guests imagine themselves exploring a library.	Some guests imagine themselves explored a library.	-80.0	-79.5	-11.375	-11.375	False	False	syntax/semantics	binding
5	1	Tonya is thinking about herself listening to Andrew.	Tonya is thinking about herself listened to Andrew.	-101.5	-101.5	-11.25	-11.25	False	False	syntax/semantics	binding
6	1	Christina hasn't thought about herself noticing Sheila.	Christina hasn't thought about herself notices Sheila.	-102.5	-102.5	-11.375	-11.375	False	False	syntax/semantics	binding
7	1	Ann wouldn't forget about herself passing banks.	Ann wouldn't forget about herself passed banks.	-91.0	-91.0	-11.375	-11.375	False	False	syntax/semantics	binding
8	1	These patients think about themselves concealing that girl.	These patients think about themselves concealed that girl.	-102.5	-91.0	-11.375	-11.375	False	False	syntax/semantics	binding
9	1	That association is forgetting about itself impressing Renee.	That association is forgetting about itself impresses Renee.	-112.0	-112.5	-11.25	-11.25	True	False	syntax/semantics	binding
10	1	Some teachers imagine themselves bringing many carriages.	Some teachers imagine themselves brought many carriages.	-91.0	-91.5	-11.375	-11.4375	True	True	syntax/semantics	binding
11	1	Stacy won't imagine herself biking to all malls.	Stacy won't imagine herself biked to all malls.	-114.0	-125.0	-11.4375	-11.375	True	False	syntax/semantics	binding
12	1	Most men forget about themselves climbing down the ladder.	Most men forget about themselves climb down the ladder.	-102.5	-103.0	-11.375	-11.4375	True	True	syntax/semantics	binding
13	1	Paula hasn't forgotten about herself complaining about Deborah.	Paula hasn't forgotten about herself complained about Deborah.	-112.5	-112.5	-11.25	-11.25	False	False	syntax/semantics	binding
14	1	Steven doesn't think about himself listening to Theresa.	Steven doesn't think about himself listened to Theresa.	-102.0	-102.0	-11.3125	-11.3125	False	False	syntax/semantics	binding
15	1	The schools think about themselves irritating Paula.	The schools think about themselves irritated Paula.	-80.0	-80.0	-11.375	-11.375	False	False	syntax/semantics	binding
16	1	Gregory had forgotten about himself talking to Elaine.	Gregory had forgotten about himself talked to Elaine.	-101.0	-101.0	-11.1875	-11.25	False	True	syntax/semantics	binding
17	1	Kevin wasn't forgetting about himself breaking a lot of unicycles.	Kevin wasn't forgetting about himself breaks a lot of unicycles.	-147.0	-147.0	-11.3125	-11.3125	False	False	syntax/semantics	binding
18	1	Scott would imagine himself dropping by some schools.	Scott would imagine himself dropped by some schools.	-91.5	-91.0	-11.4375	-11.375	False	False	syntax/semantics	binding
19	1	Guests think about themselves praising Todd.	Guests think about themselves praise Todd.	-79.0	-79.0	-11.25	-11.3125	False	True	syntax/semantics	binding
20	1	Jane imagines herself exiting a school.	Jane imagines herself exits a school.	-79.5	-80.0	-11.375	-11.4375	True	True	syntax/semantics	binding
21	1	Brett had imagined himself listening to Jeffrey.	Brett had imagined himself listened to Jeffrey.	-91.0	-91.0	-11.375	-11.375	False	False	syntax/semantics	binding
22	1	Organizations think about themselves talking to Nancy.	Organizations think about themselves talked to Nancy.	-90.5	-90.5	-11.3125	-11.3125	False	False	syntax/semantics	binding
23	1	Theodore wasn't imagining himself observing the customers.	Theodore wasn't imagining himself observes the customers.	-102.5	-102.5	-11.375	-11.375	False	False	syntax/semantics	binding
24	1	Dawn will think about herself curing George.	Dawn will think about herself cured George.	-91.5	-91.0	-11.4375	-11.375	False	False	syntax/semantics	binding
25	1	Bethany was forgetting about herself questioning Rachelle.	Bethany was forgetting about herself questioned Rachelle.	-102.0	-102.0	-11.3125	-11.3125	False	False	syntax/semantics	binding
26	1	Dancers hadn't forgotten about themselves appreciating a public park.	Dancers hadn't forgotten about themselves appreciated a public park.	-136.0	-125.0	-11.3125	-11.375	False	True	syntax/semantics	binding
27	1	The men forget about themselves taking all hats.	The men forget about themselves took all hats.	-91.0	-91.0	-11.375	-11.375	False	False	syntax/semantics	binding
28	1	Steven thinks about himself thinking about this college campus.	Steven thinks about himself thought about this college campus.	-102.0	-102.5	-11.3125	-11.375	True	True	syntax/semantics	binding
29	1	Becca is forgetting about herself biking to that high school.	Becca is forgetting about herself biked to that high school.	-124.5	-135.0	-11.3125	-11.25	True	False	syntax/semantics	binding
30	1	Omar thought about himself working with Sheila.	Omar thought about himself worked with Sheila.	-91.0	-91.0	-11.375	-11.375	False	False	syntax/semantics	binding
31	1	Irene might imagine herself hugging Lissa.	Irene might imagine herself hugs Lissa.	-102.5	-91.5	-11.4375	-11.4375	False	False	syntax/semantics	binding
32	1	Jacqueline forgot about herself fleeing from these waitresses.	Jacqueline forgot about herself flees from these waitresses.	-124.5	-136.0	-11.3125	-11.3125	True	False	syntax/semantics	binding
33	1	Jerry wasn't thinking about himself returning to Leslie.	Jerry wasn't thinking about himself returned to Leslie.	-102.0	-102.0	-11.3125	-11.3125	False	False	syntax/semantics	binding
34	1	Brett forgot about himself working with Jesus.	Brett forgot about himself worked with Jesus.	-91.0	-91.0	-11.375	-11.375	False	False	syntax/semantics	binding
35	1	Dennis hasn't forgotten about himself scaring Paula.	Dennis hasn't forgotten about himself scared Paula.	-114.0	-103.0	-11.375	-11.4375	False	True	syntax/semantics	binding
36	1	Joseph thought about himself researching an essay.	Joseph thought about himself researches an essay.	-79.5	-90.5	-11.3125	-11.3125	True	False	syntax/semantics	binding
37	1	Frank thought about himself talking to Michelle.	Frank thought about himself talked to Michelle.	-79.0	-79.0	-11.3125	-11.3125	False	False	syntax/semantics	binding
38	1	Amanda forgets about herself hurting Ruth.	Amanda forgets about herself hurt Ruth.	-91.5	-91.0	-11.4375	-11.375	False	False	syntax/semantics	binding
39	1	Robert imagines himself visiting Joel.	Robert imagines himself visited Joel.	-68.0	-68.0	-11.3125	-11.3125	False	False	syntax/semantics	binding
40	1	Todd shouldn't imagine himself helping William.	Todd shouldn't imagine himself helps William.	-80.0	-80.0	-11.4375	-11.4375	False	False	syntax/semantics	binding
41	1	Victoria hadn't imagined herself discussing Lori.	Victoria hadn't imagined herself discussed Lori.	-80.0	-80.0	-11.4375	-11.4375	False	False	syntax/semantics	binding
