sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Lucille's sisters are confused by Amy.	Lucille's sisters are communicated by Amy.	-95.0	-95.0	-11.875	-11.875	False	False	syntax	argument_structure
1	1	A lot of hospitals were astounded by some actress.	A lot of hospitals were cooperated by some actress.	-121.0	-120.5	-12.0625	-12.0625	False	False	syntax	argument_structure
2	1	Larry's oncologists aren't helped by Spain.	Larry's oncologists aren't struggled by Spain.	-106.5	-107.0	-11.8125	-11.875	True	True	syntax	argument_structure
3	1	Jeffrey's sons are insulted by Tina's supervisor.	Jeffrey's sons are smiled by Tina's supervisor.	-129.0	-118.0	-11.6875	-11.8125	False	True	syntax	argument_structure
4	1	Tracy isn't fired by Jodi's daughter.	Tracy isn't muttered by Jodi's daughter.	-119.0	-119.0	-11.9375	-11.875	False	False	syntax	argument_structure
5	1	Eva's bosses weren't cared for by drivers.	Eva's bosses weren't interacted by drivers.	-119.0	-118.0	-11.875	-11.75	False	False	syntax	argument_structure
6	1	Some guys are disgusted by Angela.	Some guys are corresponded by Angela.	-72.5	-83.5	-12.0625	-11.9375	True	False	syntax	argument_structure
7	1	That guest's supervisor wasn't disliked by Wayne's partners.	That guest's supervisor wasn't screamed by Wayne's partners.	-132.0	-132.0	-12.0	-12.0625	False	True	syntax	argument_structure
8	1	Curtis was distracted by these high schools.	Curtis was argued by these high schools.	-106.0	-106.5	-11.8125	-11.875	True	True	syntax	argument_structure
9	1	David wasn't disgusted by these hospitals.	David wasn't shouted by these hospitals.	-83.0	-84.0	-11.875	-11.9375	True	True	syntax	argument_structure
10	1	The students weren't approached by Amy.	The students weren't shouted by Amy.	-84.0	-84.0	-12.0	-12.0	False	False	syntax	argument_structure
11	1	The teenagers are irritated by that coat.	The teenagers are flirted by that coat.	-84.0	-95.0	-12.0	-11.875	True	False	syntax	argument_structure
12	1	Girls' students were alarmed by Brenda.	Girls' students were chatted by Brenda.	-84.0	-96.0	-12.0	-12.0	True	False	syntax	argument_structure
13	1	Thomas's oncologist isn't talked about by a student.	Thomas's oncologist isn't laughed by a student.	-130.0	-118.5	-11.8125	-11.875	False	True	syntax	argument_structure
14	1	Karen isn't remembered by Homer.	Karen isn't joked around by Homer.	-71.5	-83.0	-11.875	-11.8125	True	False	syntax	argument_structure
15	1	The Impressionists aren't concealed by all banks.	The Impressionists aren't competed by all banks.	-119.0	-119.0	-11.875	-11.875	False	False	syntax	argument_structure
16	1	Nicole's daughters were scanned by Vincent's mother.	Nicole's daughters were communicated by Vincent's mother.	-119.0	-118.5	-11.875	-11.875	False	False	syntax	argument_structure
17	1	Deanna isn't respected by Ellen's doctors.	Deanna isn't boasted by Ellen's doctors.	-106.5	-107.0	-11.8125	-11.875	True	True	syntax	argument_structure
18	1	Those customers' teachers are fired by Danielle.	Those customers' teachers are suffered by Danielle.	-96.0	-96.0	-12.0	-12.0	False	False	syntax	argument_structure
