sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Eric imagines himself taking every rug.	Eric imagines himself took every rug.	-1424.0	-1400.0	-204.0	-200.0	False	False	syntax/semantics	binding
1	1	Stacy imagines herself praising this actress.	Stacy imagines herself praises this actress.	-1408.0	-1392.0	-176.0	-174.0	False	False	syntax/semantics	binding
2	1	All pedestrians think about themselves exploring museums.	All pedestrians think about themselves explored museums.	-1528.0	-1512.0	-191.0	-189.0	False	False	syntax/semantics	binding
3	1	Cheryl is forgetting about herself thinking about Beverly.	Cheryl is forgetting about herself thought about Beverly.	-1512.0	-1496.0	-152.0	-149.0	False	False	syntax/semantics	binding
4	1	Some guests imagine themselves exploring a library.	Some guests imagine themselves explored a library.	-1544.0	-1536.0	-193.0	-192.0	False	False	syntax/semantics	binding
5	1	Tonya is thinking about herself listening to Andrew.	Tonya is thinking about herself listened to Andrew.	-1512.0	-1488.0	-151.0	-149.0	False	False	syntax/semantics	binding
6	1	Christina hasn't thought about herself noticing Sheila.	Christina hasn't thought about herself notices Sheila.	-1496.0	-1488.0	-150.0	-149.0	False	False	syntax/semantics	binding
7	1	Ann wouldn't forget about herself passing banks.	Ann wouldn't forget about herself passed banks.	-1456.0	-1424.0	-145.0	-143.0	False	False	syntax/semantics	binding
8	1	These patients think about themselves concealing that girl.	These patients think about themselves concealed that girl.	-1552.0	-1536.0	-172.0	-171.0	False	False	syntax/semantics	binding
9	1	That association is forgetting about itself impressing Renee.	That association is forgetting about itself impresses Renee.	-1512.0	-1512.0	-168.0	-168.0	False	False	syntax/semantics	binding
10	1	Some teachers imagine themselves bringing many carriages.	Some teachers imagine themselves brought many carriages.	-1576.0	-1552.0	-197.0	-194.0	False	False	syntax/semantics	binding
11	1	Stacy won't imagine herself biking to all malls.	Stacy won't imagine herself biked to all malls.	-1488.0	-1544.0	-124.5	-118.5	True	False	syntax/semantics	binding
12	1	Most men forget about themselves climbing down the ladder.	Most men forget about themselves climb down the ladder.	-1616.0	-1616.0	-161.0	-161.0	False	False	syntax/semantics	binding
13	1	Paula hasn't forgotten about herself complaining about Deborah.	Paula hasn't forgotten about herself complained about Deborah.	-1584.0	-1568.0	-144.0	-142.0	False	False	syntax/semantics	binding
14	1	Steven doesn't think about himself listening to Theresa.	Steven doesn't think about himself listened to Theresa.	-1440.0	-1416.0	-131.0	-129.0	False	False	syntax/semantics	binding
15	1	The schools think about themselves irritating Paula.	The schools think about themselves irritated Paula.	-1472.0	-1448.0	-184.0	-181.0	False	False	syntax/semantics	binding
16	1	Gregory had forgotten about himself talking to Elaine.	Gregory had forgotten about himself talked to Elaine.	-1480.0	-1464.0	-164.0	-162.0	False	False	syntax/semantics	binding
17	1	Kevin wasn't forgetting about himself breaking a lot of unicycles.	Kevin wasn't forgetting about himself breaks a lot of unicycles.	-1720.0	-1696.0	-123.0	-121.0	False	False	syntax/semantics	binding
18	1	Scott would imagine himself dropping by some schools.	Scott would imagine himself dropped by some schools.	-1536.0	-1512.0	-170.0	-168.0	False	False	syntax/semantics	binding
19	1	Guests think about themselves praising Todd.	Guests think about themselves praise Todd.	-1448.0	-1448.0	-207.0	-207.0	False	False	syntax/semantics	binding
20	1	Jane imagines herself exiting a school.	Jane imagines herself exits a school.	-1464.0	-1456.0	-209.0	-208.0	False	False	syntax/semantics	binding
21	1	Brett had imagined himself listening to Jeffrey.	Brett had imagined himself listened to Jeffrey.	-1424.0	-1400.0	-178.0	-175.0	False	False	syntax/semantics	binding
22	1	Organizations think about themselves talking to Nancy.	Organizations think about themselves talked to Nancy.	-1464.0	-1448.0	-183.0	-181.0	False	False	syntax/semantics	binding
23	1	Theodore wasn't imagining himself observing the customers.	Theodore wasn't imagining himself observes the customers.	-1488.0	-1464.0	-135.0	-133.0	False	False	syntax/semantics	binding
24	1	Dawn will think about herself curing George.	Dawn will think about herself cured George.	-1408.0	-1384.0	-176.0	-173.0	False	False	syntax/semantics	binding
25	1	Bethany was forgetting about herself questioning Rachelle.	Bethany was forgetting about herself questioned Rachelle.	-1592.0	-1576.0	-144.0	-143.0	False	False	syntax/semantics	binding
26	1	Dancers hadn't forgotten about themselves appreciating a public park.	Dancers hadn't forgotten about themselves appreciated a public park.	-1592.0	-1576.0	-122.5	-121.0	False	False	syntax/semantics	binding
27	1	The men forget about themselves taking all hats.	The men forget about themselves took all hats.	-1496.0	-1480.0	-166.0	-164.0	False	False	syntax/semantics	binding
28	1	Steven thinks about himself thinking about this college campus.	Steven thinks about himself thought about this college campus.	-1472.0	-1456.0	-147.0	-145.0	False	False	syntax/semantics	binding
29	1	Becca is forgetting about herself biking to that high school.	Becca is forgetting about herself biked to that high school.	-1536.0	-1584.0	-128.0	-122.0	True	False	syntax/semantics	binding
30	1	Omar thought about himself working with Sheila.	Omar thought about himself worked with Sheila.	-1424.0	-1400.0	-178.0	-175.0	False	False	syntax/semantics	binding
31	1	Irene might imagine herself hugging Lissa.	Irene might imagine herself hugs Lissa.	-1424.0	-1416.0	-158.0	-157.0	False	False	syntax/semantics	binding
32	1	Jacqueline forgot about herself fleeing from these waitresses.	Jacqueline forgot about herself flees from these waitresses.	-1576.0	-1632.0	-143.0	-136.0	True	False	syntax/semantics	binding
33	1	Jerry wasn't thinking about himself returning to Leslie.	Jerry wasn't thinking about himself returned to Leslie.	-1608.0	-1576.0	-146.0	-143.0	False	False	syntax/semantics	binding
34	1	Brett forgot about himself working with Jesus.	Brett forgot about himself worked with Jesus.	-1392.0	-1368.0	-174.0	-171.0	False	False	syntax/semantics	binding
35	1	Dennis hasn't forgotten about himself scaring Paula.	Dennis hasn't forgotten about himself scared Paula.	-1576.0	-1504.0	-143.0	-150.0	False	True	syntax/semantics	binding
36	1	Joseph thought about himself researching an essay.	Joseph thought about himself researches an essay.	-1368.0	-1368.0	-171.0	-171.0	False	False	syntax/semantics	binding
37	1	Frank thought about himself talking to Michelle.	Frank thought about himself talked to Michelle.	-1368.0	-1352.0	-171.0	-169.0	False	False	syntax/semantics	binding
38	1	Amanda forgets about herself hurting Ruth.	Amanda forgets about herself hurt Ruth.	-1496.0	-1488.0	-214.0	-212.0	False	False	syntax/semantics	binding
39	1	Robert imagines himself visiting Joel.	Robert imagines himself visited Joel.	-1408.0	-1384.0	-234.0	-231.0	False	False	syntax/semantics	binding
40	1	Todd shouldn't imagine himself helping William.	Todd shouldn't imagine himself helps William.	-1480.0	-1472.0	-165.0	-163.0	False	False	syntax/semantics	binding
41	1	Victoria hadn't imagined herself discussing Lori.	Victoria hadn't imagined herself discussed Lori.	-1456.0	-1440.0	-161.0	-160.0	False	False	syntax/semantics	binding
42	1	Some governments think about themselves admiring some bread.	Some governments think about themselves admired some bread.	-1608.0	-1616.0	-178.0	-179.0	True	True	syntax/semantics	binding
43	1	The Clintons think about themselves disagreeing with Alicia.	The Clintons think about themselves disagree with Alicia.	-1616.0	-1568.0	-147.0	-157.0	False	True	syntax/semantics	binding
44	1	Gerald imagines himself cleaning this painting.	Gerald imagines himself cleaned this painting.	-1344.0	-1336.0	-191.0	-191.0	False	False	syntax/semantics	binding
45	1	Liam forgot about himself thinking about Rose.	Liam forgot about himself thinks about Rose.	-1496.0	-1456.0	-187.0	-182.0	False	False	syntax/semantics	binding
46	1	Raymond did imagine himself distracting Gina.	Raymond did imagine himself distracted Gina.	-1472.0	-1448.0	-210.0	-207.0	False	False	syntax/semantics	binding
47	1	Kendra won't think about herself disturbing Colleen.	Kendra won't think about herself disturbs Colleen.	-1416.0	-1376.0	-129.0	-125.0	False	False	syntax/semantics	binding
48	1	Regina imagined herself breaking a lot of forks.	Regina imagined herself broke a lot of forks.	-1432.0	-1416.0	-143.0	-142.0	False	False	syntax/semantics	binding
49	1	Some children imagine themselves bringing a lot of dogs.	Some children imagine themselves brought a lot of dogs.	-1600.0	-1584.0	-160.0	-158.0	False	False	syntax/semantics	binding
50	1	Janet hasn't thought about herself boycotting Harvard University.	Janet hasn't thought about herself boycotted Harvard University.	-1664.0	-1688.0	-138.0	-130.0	True	False	syntax/semantics	binding
51	1	Maria would forget about herself boycotting that committee.	Maria would forget about herself boycotts that committee.	-1504.0	-1488.0	-150.0	-149.0	False	False	syntax/semantics	binding
52	1	Bethany wasn't forgetting about herself insulting Kevin.	Bethany wasn't forgetting about herself insulted Kevin.	-1584.0	-1568.0	-144.0	-143.0	False	False	syntax/semantics	binding
53	1	Most drivers think about themselves scanning the movie.	Most drivers think about themselves scanned the movie.	-1592.0	-1584.0	-177.0	-176.0	False	False	syntax/semantics	binding
54	1	Adults forget about themselves distracting Dawn.	Adults forget about themselves distract Dawn.	-1456.0	-1456.0	-182.0	-182.0	False	False	syntax/semantics	binding
55	1	Florence should think about herself irritating Sharon.	Florence should think about herself irritated Sharon.	-1520.0	-1504.0	-190.0	-188.0	False	False	syntax/semantics	binding
56	1	Karla imagined herself returning to Michael.	Karla imagined herself returns to Michael.	-1368.0	-1344.0	-171.0	-168.0	False	False	syntax/semantics	binding
57	1	Eric thought about himself examining some commentaries.	Eric thought about himself examines some commentaries.	-1488.0	-1480.0	-186.0	-185.0	False	False	syntax/semantics	binding
58	1	Amy wasn't thinking about herself listening to Marcus.	Amy wasn't thinking about herself listened to Marcus.	-1560.0	-1544.0	-142.0	-140.0	False	False	syntax/semantics	binding
59	1	Some people can imagine themselves referencing a lot of teachers.	Some people can imagine themselves referenced a lot of teachers.	-1640.0	-1640.0	-149.0	-149.0	False	False	syntax/semantics	binding
60	1	Nina might forget about herself bringing those public parks.	Nina might forget about herself brought those public parks.	-1608.0	-1584.0	-160.0	-158.0	False	False	syntax/semantics	binding
61	1	Sandra couldn't imagine herself researching every commentary.	Sandra couldn't imagine herself researches every commentary.	-1560.0	-1560.0	-156.0	-156.0	False	False	syntax/semantics	binding
62	1	Leslie shouldn't forget about herself exiting many glaciers.	Leslie shouldn't forget about herself exits many glaciers.	-1680.0	-1680.0	-153.0	-153.0	False	False	syntax/semantics	binding
63	1	Todd has thought about himself dropping by that hill.	Todd has thought about himself dropped by that hill.	-1520.0	-1496.0	-152.0	-150.0	False	False	syntax/semantics	binding
64	1	Those pedestrians shouldn't forget about themselves boasting about Melissa.	Those pedestrians shouldn't forget about themselves boast about Melissa.	-1672.0	-1672.0	-139.0	-140.0	False	True	syntax/semantics	binding
65	1	Dawn imagined herself working with all men.	Dawn imagined herself works with all men.	-1432.0	-1416.0	-179.0	-177.0	False	False	syntax/semantics	binding
66	1	The women think about themselves annoying these men.	The women think about themselves annoyed these men.	-1504.0	-1488.0	-168.0	-165.0	False	False	syntax/semantics	binding
67	1	Gary wasn't imagining himself praising Marcus.	Gary wasn't imagining himself praised Marcus.	-1504.0	-1480.0	-167.0	-165.0	False	False	syntax/semantics	binding
68	1	Stephanie imagines herself disturbing some libraries.	Stephanie imagines herself disturbs some libraries.	-1504.0	-1480.0	-215.0	-211.0	False	False	syntax/semantics	binding
69	1	Some company had forgotten about itself impressing Kirsten.	Some company had forgotten about itself impressed Kirsten.	-1560.0	-1552.0	-174.0	-173.0	False	False	syntax/semantics	binding
70	1	Frank thinks about himself researching a lot of plays.	Frank thinks about himself researches a lot of plays.	-1408.0	-1408.0	-141.0	-141.0	False	False	syntax/semantics	binding
71	1	Raymond forgot about himself looking like all pictures.	Raymond forgot about himself looked like all pictures.	-1528.0	-1512.0	-170.0	-168.0	False	False	syntax/semantics	binding
72	1	All children hadn't thought about themselves bringing the peppers.	All children hadn't thought about themselves brought the peppers.	-1672.0	-1656.0	-139.0	-138.0	False	False	syntax/semantics	binding
73	1	Allison thought about herself healing Jacqueline.	Allison thought about herself healed Jacqueline.	-1504.0	-1504.0	-215.0	-215.0	False	False	syntax/semantics	binding
74	1	Amelia thinks about herself breaking that car.	Amelia thinks about herself broke that car.	-1416.0	-1400.0	-158.0	-155.0	False	False	syntax/semantics	binding
75	1	Elizabeth wasn't thinking about herself climbing down these steps.	Elizabeth wasn't thinking about herself climbed down these steps.	-1624.0	-1608.0	-135.0	-134.0	False	False	syntax/semantics	binding
76	1	Some hospitals think about themselves talking about Joseph.	Some hospitals think about themselves talk about Joseph.	-1568.0	-1568.0	-174.0	-174.0	False	False	syntax/semantics	binding
77	1	Cynthia thought about herself boring all men.	Cynthia thought about herself bored all men.	-1384.0	-1360.0	-154.0	-151.0	False	False	syntax/semantics	binding
78	1	This dancer imagines herself attacking Todd.	This dancer imagines herself attacks Todd.	-1488.0	-1480.0	-212.0	-212.0	False	False	syntax/semantics	binding
79	1	Connie isn't thinking about herself examining this story.	Connie isn't thinking about herself examines this story.	-1608.0	-1592.0	-134.0	-132.0	False	False	syntax/semantics	binding
80	1	Veronica forgot about herself insulting a lot of guys.	Veronica forgot about herself insults a lot of guys.	-1496.0	-1496.0	-150.0	-149.0	False	False	syntax/semantics	binding
81	1	Liam won't imagine himself wearing a dress.	Liam won't imagine himself wore a dress.	-1552.0	-1544.0	-155.0	-154.0	False	False	syntax/semantics	binding
82	1	David thinks about himself questioning Amelia.	David thinks about himself questions Amelia.	-1344.0	-1336.0	-193.0	-191.0	False	False	syntax/semantics	binding
83	1	Senators think about themselves shocking every guy.	Senators think about themselves shocked every guy.	-1504.0	-1472.0	-167.0	-164.0	False	False	syntax/semantics	binding
84	1	Those waitresses forget about themselves shocking many universities.	Those waitresses forget about themselves shock many universities.	-1688.0	-1672.0	-169.0	-167.0	False	False	syntax/semantics	binding
85	1	Jennifer thought about herself visiting those people.	Jennifer thought about herself visited those people.	-1552.0	-1528.0	-194.0	-191.0	False	False	syntax/semantics	binding
86	1	Larry hasn't thought about himself healing Melissa.	Larry hasn't thought about himself healed Melissa.	-1640.0	-1632.0	-164.0	-163.0	False	False	syntax/semantics	binding
87	1	Kristin would think about herself climbing down all stairs.	Kristin would think about herself climbed down all stairs.	-1544.0	-1520.0	-140.0	-138.0	False	False	syntax/semantics	binding
88	1	Matt thought about himself boycotting that grocery store.	Matt thought about himself boycotted that grocery store.	-1472.0	-1504.0	-147.0	-137.0	True	False	syntax/semantics	binding
89	1	Roger thinks about himself observing Rodney.	Roger thinks about himself observed Rodney.	-1400.0	-1392.0	-201.0	-198.0	False	False	syntax/semantics	binding
90	1	Lawrence thinks about himself talking about Craig.	Lawrence thinks about himself talked about Craig.	-1424.0	-1416.0	-178.0	-177.0	False	False	syntax/semantics	binding
91	1	Most doctors forget about themselves impressing all children.	Most doctors forget about themselves impressed all children.	-1640.0	-1616.0	-182.0	-180.0	False	False	syntax/semantics	binding
