sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Dawn's ex-husband wasn't going to one rough grocery store and Becca wasn't going to many.	Dawn's ex-husband wasn't going to one grocery store and Becca wasn't going to many rough.	-280.0	-280.0	-10.375	-10.375	False	False	syntax	ellipsis
1	1	Most men irritates two happy students and a snake irritates three.	Most men irritates two students and a snake irritates three happy.	-145.0	-145.0	-10.375	-10.375	False	False	syntax	ellipsis
2	1	A pedestrian's brothers had loved one smart dancer and Phillip's mother had loved few.	A pedestrian's brothers had loved one dancer and Phillip's mother had loved few smart.	-228.0	-228.0	-10.375	-10.375	False	False	syntax	ellipsis
3	1	Brad passed one big museum and Eva passed several.	Brad passed one museum and Eva passed several big.	-104.0	-104.0	-10.375	-10.375	False	False	syntax	ellipsis
4	1	The daughters of Michelle weren't hurting one displeased ex-wife and Stephanie's classmates weren't hurting three.	The daughters of Michelle weren't hurting one ex-wife and Stephanie's classmates weren't hurting three displeased.	-322.0	-322.0	-10.375	-10.375	False	False	syntax	ellipsis
5	1	Most ladies can appreciate one good essay and Matt's dermatologist can appreciate two.	Most ladies can appreciate one essay and Matt's dermatologist can appreciate two good.	-197.0	-197.0	-10.375	-10.375	False	False	syntax	ellipsis
6	1	Those actresses' guests discovered three hard socks and Jason's ex-boyfriends discovered more.	Those actresses' guests discovered three socks and Jason's ex-boyfriends discovered more hard.	-218.0	-218.0	-10.375	-10.375	False	False	syntax	ellipsis
7	1	That lady has resembled one hidden print and Guy's colleague has resembled four.	That lady has resembled one print and Guy's colleague has resembled four hidden.	-197.0	-197.0	-10.375	-10.375	False	False	syntax	ellipsis
8	1	Every actress's piano teachers skate around five messy college campuses and Carolyn's dentists skate around four.	Every actress's piano teachers skate around five college campuses and Carolyn's dentists skate around four messy.	-280.0	-280.0	-10.375	-10.375	False	False	syntax	ellipsis
9	1	This print scares a lot of busy senators and Benjamin scares a few.	This print scares a lot of senators and Benjamin scares a few busy.	-176.0	-176.0	-10.375	-10.375	False	False	syntax	ellipsis
10	1	Florence's handymen think about no happy best friends and Ellen's best friends think about some.	Florence's handymen think about no best friends and Ellen's best friends think about some happy.	-228.0	-228.0	-10.375	-10.375	False	False	syntax	ellipsis
11	1	The customers don't walk through one orange public park and Ellen might walk through few.	The customers don't walk through one public park and Ellen might walk through few orange.	-187.0	-187.0	-10.375	-10.375	False	False	syntax	ellipsis
12	1	Amy's lawyers examine one upset grandson and a lot of cashiers examine few.	Amy's lawyers examine one grandson and a lot of cashiers examine few upset.	-187.0	-187.0	-10.375	-10.375	False	False	syntax	ellipsis
13	1	Jerry was cleaning few gray public parks and some grandson of Ann was cleaning many.	Jerry was cleaning few public parks and some grandson of Ann was cleaning many gray.	-176.0	-176.0	-10.375	-10.375	False	False	syntax	ellipsis
14	1	Jerry fired a few hopeful employees and Daniel's sons fired several.	Jerry fired a few employees and Daniel's sons fired several hopeful.	-156.0	-156.0	-10.375	-10.375	False	False	syntax	ellipsis
15	1	A slope isn't shocking few lost colleagues and horses aren't shocking many.	A slope isn't shocking few colleagues and horses aren't shocking many lost.	-197.0	-197.0	-10.375	-10.375	False	False	syntax	ellipsis
16	1	Claire could sound like one good college campus and Daniel could sound like some.	Claire could sound like one college campus and Daniel could sound like some good.	-156.0	-156.0	-10.375	-10.375	False	False	syntax	ellipsis
17	1	Donald criticizes three important customers and Carrie criticizes more.	Donald criticizes three customers and Carrie criticizes more important.	-135.0	-135.0	-10.375	-10.375	False	False	syntax	ellipsis
18	1	Connie's fathers find one determined spouse and all teenagers find four.	Connie's fathers find one spouse and all teenagers find four determined.	-176.0	-176.0	-10.375	-10.375	False	False	syntax	ellipsis
19	1	The son of Danielle will bore several confident cousins and these grandfathers of Carrie will bore a few.	The son of Danielle will bore several cousins and these grandfathers of Carrie will bore a few confident.	-249.0	-249.0	-10.375	-10.375	False	False	syntax	ellipsis
20	1	These grandmothers of Martin hadn't resembled two yellow photographs of and some reports about music hadn't resembled three.	These grandmothers of Martin hadn't resembled two photographs of and some reports about music hadn't resembled three yellow.	-280.0	-280.0	-10.375	-10.375	False	False	syntax	ellipsis
21	1	Many bikes embarrassed no excited French teachers and the organizations embarrassed some.	Many bikes embarrassed no French teachers and the organizations embarrassed some excited.	-145.0	-145.0	-10.375	-10.375	False	False	syntax	ellipsis
22	1	Suzanne's grandfathers talk to five unconvinced grandsons and many schools talk to four.	Suzanne's grandfathers talk to five grandsons and many schools talk to four unconvinced.	-249.0	-249.0	-10.375	-10.375	False	False	syntax	ellipsis
23	1	Kenneth's brother revealed one purple restaurant and Karen revealed more.	Kenneth's brother revealed one restaurant and Karen revealed more purple.	-145.0	-145.0	-10.375	-10.375	False	False	syntax	ellipsis
