sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Ali is in the bakery. Ali sees the candle inside. Ali believes that the candle is in the bakery.	Ali is in the bakery. Ali sees the candle outside. Ali doubts that the candle is in the bakery.	-304.0	-302.0	-14.4375	-14.4375	False	False	agent-properties	believe/doubt
1	1	Chao is in the shop. Chao sees the wheel inside. Chao believes that the wheel is in the shop.	Chao is in the shop. Chao sees the wheel outside. Chao doubts that the wheel is in the shop.	-328.0	-330.0	-14.9375	-15.0	True	True	agent-properties	believe/doubt
2	1	Jesse is in the school. Jesse sees the truck inside. Jesse believes that the truck is in the school.	Jesse is in the school. Jesse sees the truck outside. Jesse doubts that the truck is in the school.	-304.0	-300.0	-14.5	-14.25	False	False	agent-properties	believe/doubt
3	1	Li is in the hospital. Li sees the cooler inside. Li believes that the cooler is in the hospital.	Li is in the hospital. Li sees the cooler outside. Li doubts that the cooler is in the hospital.	-296.0	-294.0	-14.125	-14.0	False	False	agent-properties	believe/doubt
4	1	Mohammed is in the gallery. Mohammed sees the volleyball inside. Mohammed believes that the volleyball is in the gallery.	Mohammed is in the gallery. Mohammed sees the volleyball outside. Mohammed doubts that the volleyball is in the gallery.	-352.0	-350.0	-16.0	-15.9375	False	False	agent-properties	believe/doubt
5	1	Alex successfully lied to Jesse that the truck was moved to the school. Jesse believes that the truck is in the school.	Alex successfully lied to Jesse that the truck was moved from the school. Jesse doubts that the truck is in the school.	-316.0	-316.0	-13.6875	-13.75	False	True	agent-properties	believe/doubt
6	1	Ali has learned that the candle was moved to the bakery. Ali believes that the candle is in the bakery.	Ali has learned that the candle was moved from the bakery. Ali doubts that the candle is in the bakery.	-280.0	-286.0	-13.375	-13.625	True	True	agent-properties	believe/doubt
7	1	Ali moved the candle inside the bakery. Ali believes that the candle is in the bakery.	Ali moved the candle outside the bakery. Ali doubts that the candle is in the bakery.	-225.0	-225.0	-13.25	-13.25	False	False	agent-properties	believe/doubt
8	1	Ali recently saw the candle inside the bakery. Earlier, Ali saw the candle inside the bank. Ali believes that the candle is in the bakery.	Ali recently saw the candle inside the bakery. Later, Ali saw the candle inside the bank. Ali doubts that the candle is in the bakery.	-380.0	-376.0	-13.5625	-13.375	False	False	agent-properties	believe/doubt
9	1	Ali was mistakenly informed that the candle was moved to the bakery. Ali believes that the candle is in the bakery.	Ali was mistakenly informed that the candle was moved from the bakery. Ali doubts that the candle is in the bakery.	-314.0	-320.0	-14.25	-14.5	True	True	agent-properties	believe/doubt
