sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	Aaron breaks the glass.	Aaron appeared the glass.	-60.5	-60.75	-12.0625	-12.125	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
1	1	April had dropped the truck.	April had existed the truck.	-72.0	-72.0	-12.0	-11.9375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
2	1	All actors train Tonya's brothers.	All actors appeared Tonya's brothers.	-95.0	-95.0	-11.875	-11.875	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
3	1	Raymond was stretching that shirt.	Raymond was vanishing that shirt.	-82.5	-94.5	-11.8125	-11.8125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
4	1	Benjamin would wrinkle every scarf.	Benjamin would fall every scarf.	-94.5	-83.0	-11.8125	-11.875	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
5	1	Most students hide away sisters of Gerald.	Most students wept sisters of Gerald.	-95.0	-95.5	-11.875	-11.9375	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
6	1	Michael had wrinkled many blouses.	Michael had existed many blouses.	-96.5	-84.0	-12.0625	-12.0	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
7	1	Phillip isn't hiding away Monica.	Phillip isn't departing Monica.	-94.0	-82.0	-11.75	-11.6875	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
8	1	Alan twirls that dress.	Alan existed that dress.	-83.0	-59.75	-11.875	-11.9375	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
9	1	Dawn had condensed ice.	Dawn had existed ice.	-72.5	-71.5	-12.0625	-11.875	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
10	1	Most guys hide away David's friends.	Most guys divorced David's friends.	-96.0	-83.5	-12.0	-11.9375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
11	1	Rodney was moving Victoria.	Rodney was sighing Victoria.	-71.5	-82.0	-11.875	-11.75	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
12	1	Kimberley had slowed every skateboard.	Kimberley had rusted every skateboard.	-95.0	-107.0	-11.875	-11.875	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
13	1	All doctors fray gloves.	All doctors waste away gloves.	-60.0	-72.0	-12.0	-12.0	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
14	1	Winston Churchill hasn't rolled most trucks.	Winston Churchill hasn't wasted away most trucks.	-107.0	-118.5	-11.875	-11.8125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
15	1	Kevin dropped some chair.	Kevin existed some chair.	-59.75	-60.0	-11.9375	-12.0	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
16	1	The Borgias crash a lot of unicycles.	The Borgias existed a lot of unicycles.	-130.0	-130.0	-11.8125	-11.875	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
17	1	Many customers trains Bethany.	Many customers cheered Bethany.	-71.5	-72.0	-11.9375	-11.9375	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
18	1	Katherine grew some apples.	Katherine went bad some apples.	-71.5	-84.0	-11.9375	-12.0	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
19	1	Waiters wake up Beverly's dentists.	Waiters clashed Beverly's dentists.	-106.0	-93.5	-11.8125	-11.6875	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
20	1	Curtis dropped some dishes.	Curtis wasted away some dishes.	-83.0	-95.5	-11.875	-11.9375	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
21	1	Noah hasn't shattered a mirror.	Noah hasn't fallen a mirror.	-95.5	-95.5	-11.9375	-11.9375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
22	1	A lot of customers shrink the skirts.	A lot of customers fell the skirts.	-96.0	-96.5	-12.0	-12.0625	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
23	1	Some guests reunite Rachelle's teachers.	Some guests whisper Rachelle's teachers.	-106.0	-95.0	-11.8125	-11.875	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
24	1	Lissa shuts the door.	Lissa wasted away the door.	-71.5	-83.0	-11.875	-11.8125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
25	1	A teenager couldn't turn a plane.	A teenager couldn't exist a plane.	-96.0	-95.0	-12.0	-11.875	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
26	1	David isn't drying many blouses.	David isn't falling many blouses.	-96.0	-96.0	-12.0	-12.0	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
27	1	Benjamin was folding a blouse.	Benjamin was existing a blouse.	-82.5	-83.0	-11.75	-11.8125	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
28	1	A man hadn't healed Carol.	A man hadn't protested Carol.	-83.5	-83.5	-11.9375	-11.9375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
29	1	Many actors evaporate a lot of glaciers.	Many actors disappeared a lot of glaciers.	-107.5	-96.0	-11.9375	-12.0	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
30	1	Natalie has assembled a hospital.	Natalie has debated a hospital.	-96.0	-96.5	-12.0	-12.0625	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
31	1	Stacy twirled a sweater.	Stacy wasted away a sweater.	-95.0	-83.5	-11.875	-11.9375	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
32	1	Carol heals a customer.	Carol waved a customer.	-60.0	-60.0	-12.0	-12.0	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
33	1	Cheryl had trained Tara.	Cheryl had murmured Tara.	-72.0	-83.0	-11.9375	-11.875	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
34	1	This guest shattered a plane.	This guest exists a plane.	-72.0	-72.5	-12.0	-12.0625	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
35	1	Those ladies close some gates.	Those ladies fell some gates.	-72.0	-71.5	-12.0	-11.9375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
36	1	Dennis isn't evaporating a lot of glaciers.	Dennis isn't falling a lot of glaciers.	-131.0	-119.0	-11.875	-11.875	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
37	1	A lot of women fade those lights.	A lot of women vanished those lights.	-95.5	-96.0	-11.9375	-12.0	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
