sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Todd can't yawn.	Todd can't walk through.	-61.25	-61.5	-12.25	-12.25	True	False	syntax	argument_structure
1	1	Some guests hadn't left.	Some guests hadn't boasted about.	-62.0	-73.0	-12.4375	-12.125	True	False	syntax	argument_structure
2	1	This niece of Elizabeth protests.	This niece of Elizabeth walks through.	-62.5	-74.5	-12.5	-12.4375	True	False	syntax	argument_structure
3	1	Regina is shouting.	Regina is boasting about.	-50.75	-62.0	-12.6875	-12.4375	True	False	syntax	argument_structure
4	1	This guest's plumber complains.	This guest's plumber wore.	-63.5	-63.0	-12.6875	-12.625	False	False	syntax	argument_structure
5	1	Anna's grandmothers aren't benefiting.	Anna's grandmothers aren't arguing about.	-97.0	-109.0	-12.125	-12.125	True	False	syntax	argument_structure
6	1	Some glaciers are vaporizing.	Some glaciers are scaring.	-62.25	-63.0	-12.4375	-12.5625	True	True	syntax	argument_structure
7	1	Stephanie succeeds.	Stephanie boasts about.	-49.5	-61.25	-12.375	-12.25	True	False	syntax	argument_structure
8	1	Tara's contractors scream.	Tara's contractors drive to.	-61.75	-74.5	-12.375	-12.375	True	False	syntax	argument_structure
9	1	All gloves weren't crumpling.	All gloves weren't looking like.	-85.5	-72.5	-12.1875	-12.0625	False	False	syntax	argument_structure
10	1	Patricia's hairdressers hadn't cooked.	Patricia's hairdressers hadn't gone to.	-109.0	-120.5	-12.125	-12.0625	True	False	syntax	argument_structure
11	1	The spotlights faded.	The spotlights scared.	-51.5	-51.5	-12.875	-12.875	False	False	syntax	argument_structure
12	1	The muffins were scorching.	The muffins were scaring.	-87.5	-75.5	-12.5	-12.625	False	True	syntax	argument_structure
13	1	Those friends of Sally were painting.	Those friends of Sally were walking through.	-74.5	-86.5	-12.375	-12.375	True	False	syntax	argument_structure
14	1	This screen does brighten.	This screen does resemble.	-64.0	-52.5	-12.8125	-13.125	False	True	syntax	argument_structure
15	1	Danielle's podiatrists were succeeding.	Danielle's podiatrists were scaring.	-97.5	-110.0	-12.1875	-12.25	True	True	syntax	argument_structure
16	1	A lot of cashiers should collaborate.	A lot of cashiers should go to.	-87.0	-99.0	-12.4375	-12.375	True	False	syntax	argument_structure
17	1	The pepper blackened.	The pepper resembles.	-51.75	-39.25	-12.9375	-13.125	False	True	syntax	argument_structure
18	1	Some skirts haven't unfolded.	Some skirts haven't scared.	-61.0	-61.0	-12.1875	-12.1875	False	False	syntax	argument_structure
19	1	Guy's French teachers die.	Guy's French teachers arrived at.	-63.25	-75.0	-12.6875	-12.5	True	False	syntax	argument_structure
20	1	This shirt crumples.	This shirt scares.	-63.0	-38.25	-12.5625	-12.75	False	True	syntax	argument_structure
21	1	Some cup falls apart.	Some cup resembles.	-49.75	-38.25	-12.4375	-12.75	False	True	syntax	argument_structure
22	1	All grandmothers of Bill hadn't clashed.	All grandmothers of Bill hadn't arrived at.	-109.5	-122.5	-12.1875	-12.25	True	True	syntax	argument_structure
23	1	Some convertible is chipping.	Some convertible is scaring.	-63.0	-63.5	-12.5625	-12.6875	True	True	syntax	argument_structure
24	1	Rachelle's partner chuckled.	Rachelle's partner dislikes.	-76.0	-75.0	-12.625	-12.5	False	False	syntax	argument_structure
25	1	These grandfathers of Ella cooperated.	These grandfathers of Ella boast about.	-99.0	-98.5	-12.375	-12.3125	False	False	syntax	argument_structure
26	1	Most spotlights had dimmed.	Most spotlights had looked like.	-74.0	-74.0	-12.3125	-12.375	False	True	syntax	argument_structure
27	1	Keith learns.	Keith disliked.	-26.25	-25.0	-13.125	-12.5	False	False	syntax	argument_structure
28	1	Andrea has donated.	Andrea has concealed.	-50.25	-50.0	-12.5625	-12.5	False	False	syntax	argument_structure
29	1	Some sisters of Laurie weren't hunting.	Some sisters of Laurie weren't examining.	-86.0	-86.0	-12.25	-12.25	False	False	syntax	argument_structure
30	1	Brian argued.	Brian looked like.	-26.125	-37.25	-13.0625	-12.4375	True	False	syntax	argument_structure
31	1	Many teachers embrace.	Many teachers respected.	-38.0	-38.5	-12.625	-12.8125	True	True	syntax	argument_structure
32	1	Larry departs.	Larry cured.	-36.75	-25.875	-12.25	-12.9375	False	True	syntax	argument_structure
33	1	That fish chars.	That fish resembles.	-38.0	-38.5	-12.6875	-12.875	True	True	syntax	argument_structure
34	1	Julia's colleagues wave.	Julia's colleagues fled from.	-62.75	-75.0	-12.5625	-12.5	True	False	syntax	argument_structure
35	1	The waitresses haven't fallen asleep.	The waitresses haven't concealed.	-87.0	-76.0	-12.4375	-12.625	False	True	syntax	argument_structure
36	1	Bethany murmured.	Bethany goes to.	-49.5	-49.5	-12.375	-12.375	False	False	syntax	argument_structure
37	1	Every shawl tightens.	Every shawl scared.	-63.0	-51.0	-12.625	-12.75	False	True	syntax	argument_structure
38	1	Some wheelbarrow shattered.	Some wheelbarrow looked like.	-62.25	-75.0	-12.4375	-12.4375	True	False	syntax	argument_structure
39	1	The dancer's daughters lie.	The dancer's daughters examined.	-62.5	-62.75	-12.5	-12.5625	True	True	syntax	argument_structure
40	1	The companies haven't competed.	The companies haven't concealed.	-63.25	-62.75	-12.625	-12.5625	False	False	syntax	argument_structure
41	1	Kimberley wakes up.	Kimberley returned to.	-61.0	-62.0	-12.1875	-12.4375	True	True	syntax	argument_structure
42	1	Some people's tutors were kissing.	Some people's tutors were examining.	-75.5	-75.0	-12.625	-12.5	False	False	syntax	argument_structure
43	1	Nicole concurred.	Nicole cared for.	-48.25	-49.5	-12.0625	-12.375	True	True	syntax	argument_structure
44	1	The student has blinked.	The student has boasted about.	-52.25	-64.0	-13.0625	-12.8125	True	False	syntax	argument_structure
45	1	Donna shouldn't die.	Donna shouldn't argue about.	-62.25	-73.5	-12.4375	-12.25	True	False	syntax	argument_structure
46	1	Lori plays.	Lori cured.	-39.0	-38.5	-12.9375	-12.8125	False	False	syntax	argument_structure
47	1	A son of Andrea answered.	A son of Andrea reveals.	-64.0	-64.5	-12.8125	-12.875	True	True	syntax	argument_structure
48	1	Most organizations couldn't debate.	Most organizations couldn't respect.	-61.5	-61.25	-12.25	-12.25	False	False	syntax	argument_structure
49	1	Helen's associates assemble.	Helen's associates disliked.	-61.75	-61.5	-12.375	-12.3125	False	False	syntax	argument_structure
50	1	Alice littered.	Alice escaped from.	-37.5	-37.75	-12.5	-12.5625	True	True	syntax	argument_structure
51	1	Robert's ex-wives donate.	Robert's ex-wives drive to.	-75.0	-87.0	-12.5	-12.4375	True	False	syntax	argument_structure
52	1	A lot of doctors negotiated.	A lot of doctors go to.	-63.0	-75.0	-12.625	-12.5	True	False	syntax	argument_structure
53	1	That pepper rotted.	That pepper resembles.	-61.0	-37.75	-12.1875	-12.625	False	True	syntax	argument_structure
54	1	The water melts.	The water resembled.	-40.5	-40.75	-13.5	-13.5625	True	True	syntax	argument_structure
55	1	A child's tutor is protesting.	A child's tutor is concealing.	-76.5	-88.0	-12.75	-12.5625	True	False	syntax	argument_structure
56	1	The lamps hadn't darkened.	The lamps hadn't looked like.	-74.0	-74.0	-12.375	-12.375	False	False	syntax	argument_structure
57	1	Many adults drink.	Many adults go to.	-37.75	-50.0	-12.625	-12.5	True	False	syntax	argument_structure
58	1	Kimberley does sit down.	Kimberley does arrive at.	-73.5	-74.0	-12.25	-12.3125	True	True	syntax	argument_structure
59	1	The Borgias won't lie.	The Borgias won't complain about.	-74.5	-86.5	-12.375	-12.3125	True	False	syntax	argument_structure
60	1	A lot of teachers had moved.	A lot of teachers had listened to.	-75.5	-86.5	-12.625	-12.375	True	False	syntax	argument_structure
61	1	Kendra's granddaughters get fired.	Kendra's granddaughters escape from.	-97.5	-98.0	-12.1875	-12.25	True	True	syntax	argument_structure
62	1	The sock crumples.	The sock scared.	-63.5	-39.0	-12.6875	-13.0625	False	True	syntax	argument_structure
63	1	Some nephews of Jodi hadn't murmured.	Some nephews of Jodi hadn't examined.	-121.5	-110.0	-12.125	-12.25	False	True	syntax	argument_structure
64	1	Robert has saluted.	Robert has gone to.	-51.0	-50.5	-12.75	-12.625	False	False	syntax	argument_structure
65	1	This shirt wasn't warping.	This shirt wasn't scaring.	-74.0	-75.0	-12.3125	-12.5	True	True	syntax	argument_structure
66	1	This hamster isn't waking up.	This hamster isn't scaring.	-87.0	-88.5	-12.4375	-12.625	True	True	syntax	argument_structure
67	1	That fork chips.	That fork resembles.	-38.5	-38.75	-12.8125	-12.875	True	True	syntax	argument_structure
68	1	Karen isn't answering.	Karen isn't talking about.	-48.75	-60.25	-12.1875	-12.0625	True	False	syntax	argument_structure
69	1	A lot of hats tighten.	A lot of hats resembled.	-62.5	-62.5	-12.5	-12.5	False	False	syntax	argument_structure
70	1	Andrea's nephews have replied.	Andrea's nephews have arrived at.	-86.0	-98.0	-12.25	-12.25	True	False	syntax	argument_structure
71	1	That spinach charred.	That spinach resembles.	-49.5	-38.0	-12.375	-12.625	False	True	syntax	argument_structure
72	1	Matt's ex-boyfriend stands up.	Matt's ex-boyfriend arrived at.	-85.0	-86.0	-12.1875	-12.3125	True	True	syntax	argument_structure
73	1	Many shoes crumpled.	Many shoes resembled.	-62.25	-37.75	-12.4375	-12.625	False	True	syntax	argument_structure
74	1	Many bicycles should steer.	Many bicycles should scare.	-49.5	-50.0	-12.375	-12.5	True	True	syntax	argument_structure
75	1	Some grandmothers of Vincent have blinked.	Some grandmothers of Vincent have listened to.	-98.5	-110.5	-12.3125	-12.25	True	False	syntax	argument_structure
76	1	Anna's cousins might smile.	Anna's cousins might admire.	-62.5	-62.0	-12.5	-12.375	False	False	syntax	argument_structure
77	1	This screen darkened.	This screen scares.	-51.5	-39.25	-12.875	-13.125	False	True	syntax	argument_structure
78	1	A closet flung open.	A closet looks like.	-63.5	-50.25	-12.6875	-12.5625	False	False	syntax	argument_structure
79	1	Wayne is smiling.	Wayne is dropping by.	-51.0	-63.0	-12.75	-12.625	True	False	syntax	argument_structure
80	1	These windows shut.	These windows scared.	-39.0	-38.5	-13.0	-12.8125	False	False	syntax	argument_structure
81	1	Beverly does cough.	Beverly does lift.	-62.75	-62.5	-12.5625	-12.5	False	False	syntax	argument_structure
82	1	Grace hasn't hunted.	Grace hasn't talked about.	-49.5	-60.0	-12.375	-12.0	True	False	syntax	argument_structure
83	1	Tracy is sighing.	Tracy is complaining about.	-61.75	-61.75	-12.375	-12.375	False	False	syntax	argument_structure
84	1	Teachers hadn't surrendered.	Teachers hadn't lifted.	-49.25	-49.0	-12.3125	-12.25	False	False	syntax	argument_structure
85	1	The guests did meet.	The guests did argue about.	-52.25	-63.5	-13.0625	-12.6875	True	False	syntax	argument_structure
86	1	Frank's cousins had conspired.	Frank's cousins had returned to.	-74.5	-75.0	-12.375	-12.5	True	True	syntax	argument_structure
87	1	Some tomatoes aren't charring.	Some tomatoes aren't looking like.	-73.5	-73.0	-12.25	-12.125	False	False	syntax	argument_structure
88	1	Some skateboard should steer.	Some skateboard should look like.	-49.5	-61.0	-12.375	-12.1875	True	False	syntax	argument_structure
