sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	Only the grandsons of the Impressionists who Colleen is appreciating ever encourage Phillip to stretch.	The grandsons of the Impressionists who only Colleen is appreciating ever encourage Phillip to stretch.	-256.0	-256.0	-12.1875	-12.1875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
1	1	Only that story about Monet that Mark would research does ever worry Richard.	That story about Monet that only Mark would research does ever worry Richard.	-184.0	-184.0	-12.3125	-12.3125	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
2	1	Only a popsicle that Danielle admires ever freezes.	A popsicle that only Danielle admires ever freezes.	-134.0	-134.0	-12.1875	-12.1875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
3	1	Only Naomi's sisters that Martin had questioned ever seem to look like a light.	Naomi's sisters that only Martin had questioned ever seem to look like a light.	-194.0	-207.0	-12.125	-12.1875	True	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
4	1	Only those companies that these associations stun had ever enticed Benjamin's ex-husband to write.	Those companies that only these associations stun had ever enticed Benjamin's ex-husband to write.	-231.0	-232.0	-12.1875	-12.1875	True	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
5	1	Only many people who George likes ever clashed.	Many people who only George likes ever clashed.	-110.0	-110.0	-12.1875	-12.25	False	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
6	1	Only Tammy's plumber who a pedestrian has respected ever knows some actors.	Tammy's plumber who only a pedestrian has respected ever knows some actors.	-183.0	-183.0	-12.1875	-12.1875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
7	1	Only Douglas's ex-husbands who all photographs looked like ever hurts Peter.	Douglas's ex-husbands who only all photographs looked like ever hurts Peter.	-195.0	-207.0	-12.1875	-12.1875	True	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
8	1	Only those doctors who Karla respects ever conceal many snakes.	Those doctors who only Karla respects ever conceal many snakes.	-146.0	-146.0	-12.1875	-12.1875	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
9	1	Only a cousin of Lucille that a lot of rivers have hurt ever learned who have married.	A cousin of Lucille that only a lot of rivers have hurt ever learned who have married.	-233.0	-233.0	-12.25	-12.25	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
10	1	Only Katherine's podiatrist who Sheila discusses ever conceals Mary.	Katherine's podiatrist who only Sheila discusses ever conceals Mary.	-169.0	-182.0	-12.0625	-12.125	True	True	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
11	1	Only every government that Lawrence confused has ever respected Dana.	Every government that only Lawrence confused has ever respected Dana.	-135.0	-136.0	-12.3125	-12.3125	True	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
12	1	Only cashiers' piano teachers that Judy does attack ever disturbed patients.	Cashiers' piano teachers that only Judy does attack ever disturbed patients.	-172.0	-171.0	-12.25	-12.25	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
13	1	Only these shirts that paintings have looked like could ever soak.	These shirts that only paintings have looked like could ever soak.	-147.0	-147.0	-12.25	-12.25	False	False	syntax_semantics	npi_licensing	Write a natural, coherent English sentence.
