sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Dawn's ex-husband wasn't going to one rough grocery store and Becca wasn't going to many.	Dawn's ex-husband wasn't going to one grocery store and Becca wasn't going to many rough.	-260.0	-264.0	-11.3125	-11.4375	True	True	syntax	ellipsis
1	1	Most men irritates two happy students and a snake irritates three.	Most men irritates two students and a snake irritates three happy.	-159.0	-161.0	-12.25	-12.375	True	True	syntax	ellipsis
2	1	A pedestrian's brothers had loved one smart dancer and Phillip's mother had loved few.	A pedestrian's brothers had loved one dancer and Phillip's mother had loved few smart.	-222.0	-223.0	-12.3125	-12.375	True	True	syntax	ellipsis
3	1	Brad passed one big museum and Eva passed several.	Brad passed one museum and Eva passed several big.	-106.5	-108.5	-11.8125	-12.0625	True	True	syntax	ellipsis
4	1	The daughters of Michelle weren't hurting one displeased ex-wife and Stephanie's classmates weren't hurting three.	The daughters of Michelle weren't hurting one ex-wife and Stephanie's classmates weren't hurting three displeased.	-286.0	-284.0	-12.4375	-12.375	False	False	syntax	ellipsis
5	1	Most ladies can appreciate one good essay and Matt's dermatologist can appreciate two.	Most ladies can appreciate one essay and Matt's dermatologist can appreciate two good.	-194.0	-190.0	-12.9375	-12.625	False	False	syntax	ellipsis
6	1	Those actresses' guests discovered three hard socks and Jason's ex-boyfriends discovered more.	Those actresses' guests discovered three socks and Jason's ex-boyfriends discovered more hard.	-215.0	-213.0	-11.9375	-11.8125	False	False	syntax	ellipsis
7	1	That lady has resembled one hidden print and Guy's colleague has resembled four.	That lady has resembled one print and Guy's colleague has resembled four hidden.	-177.0	-176.0	-11.8125	-11.75	False	False	syntax	ellipsis
8	1	Every actress's piano teachers skate around five messy college campuses and Carolyn's dentists skate around four.	Every actress's piano teachers skate around five college campuses and Carolyn's dentists skate around four messy.	-262.0	-264.0	-13.0625	-13.1875	True	True	syntax	ellipsis
9	1	This print scares a lot of busy senators and Benjamin scares a few.	This print scares a lot of senators and Benjamin scares a few busy.	-162.0	-160.0	-12.4375	-12.3125	False	False	syntax	ellipsis
10	1	Florence's handymen think about no happy best friends and Ellen's best friends think about some.	Florence's handymen think about no best friends and Ellen's best friends think about some happy.	-223.0	-226.0	-11.125	-11.3125	True	True	syntax	ellipsis
11	1	The customers don't walk through one orange public park and Ellen might walk through few.	The customers don't walk through one public park and Ellen might walk through few orange.	-223.0	-226.0	-13.125	-13.3125	True	True	syntax	ellipsis
12	1	Amy's lawyers examine one upset grandson and a lot of cashiers examine few.	Amy's lawyers examine one grandson and a lot of cashiers examine few upset.	-194.0	-190.0	-12.125	-11.875	False	False	syntax	ellipsis
13	1	Jerry was cleaning few gray public parks and some grandson of Ann was cleaning many.	Jerry was cleaning few public parks and some grandson of Ann was cleaning many gray.	-180.0	-176.0	-12.0	-11.6875	False	False	syntax	ellipsis
14	1	Jerry fired a few hopeful employees and Daniel's sons fired several.	Jerry fired a few employees and Daniel's sons fired several hopeful.	-162.0	-157.0	-12.4375	-12.125	False	False	syntax	ellipsis
15	1	A slope isn't shocking few lost colleagues and horses aren't shocking many.	A slope isn't shocking few colleagues and horses aren't shocking many lost.	-192.0	-191.0	-12.0	-11.9375	False	False	syntax	ellipsis
16	1	Claire could sound like one good college campus and Daniel could sound like some.	Claire could sound like one college campus and Daniel could sound like some good.	-160.0	-164.0	-11.4375	-11.6875	True	True	syntax	ellipsis
17	1	Donald criticizes three important customers and Carrie criticizes more.	Donald criticizes three customers and Carrie criticizes more important.	-113.0	-110.5	-12.5625	-12.25	False	False	syntax	ellipsis
18	1	Connie's fathers find one determined spouse and all teenagers find four.	Connie's fathers find one spouse and all teenagers find four determined.	-161.0	-161.0	-12.4375	-12.4375	False	False	syntax	ellipsis
19	1	The son of Danielle will bore several confident cousins and these grandfathers of Carrie will bore a few.	The son of Danielle will bore several cousins and these grandfathers of Carrie will bore a few confident.	-240.0	-239.0	-12.625	-12.5625	False	False	syntax	ellipsis
20	1	These grandmothers of Martin hadn't resembled two yellow photographs of and some reports about music hadn't resembled three.	These grandmothers of Martin hadn't resembled two photographs of and some reports about music hadn't resembled three yellow.	-262.0	-264.0	-11.875	-12.0	True	True	syntax	ellipsis
21	1	Many bikes embarrassed no excited French teachers and the organizations embarrassed some.	Many bikes embarrassed no French teachers and the organizations embarrassed some excited.	-151.0	-151.0	-12.5625	-12.625	False	True	syntax	ellipsis
22	1	Suzanne's grandfathers talk to five unconvinced grandsons and many schools talk to four.	Suzanne's grandfathers talk to five grandsons and many schools talk to four unconvinced.	-202.0	-200.0	-11.875	-11.8125	False	False	syntax	ellipsis
23	1	Kenneth's brother revealed one purple restaurant and Karen revealed more.	Kenneth's brother revealed one restaurant and Karen revealed more purple.	-148.0	-152.0	-12.3125	-12.625	True	True	syntax	ellipsis
24	1	Kristin's piano teachers see one rough school and Florence's electricians see two.	Kristin's piano teachers see one school and Florence's electricians see two rough.	-210.0	-218.0	-13.125	-13.625	True	True	syntax	ellipsis
25	1	A lot of governments describe a few unsure senators and Meredith's lawyers describe several.	A lot of governments describe a few senators and Meredith's lawyers describe several unsure.	-202.0	-199.0	-12.625	-12.4375	False	False	syntax	ellipsis
26	1	Charles's associates had taken one gray skirt and Sheila's podiatrist had taken a lot.	Charles's associates had taken one skirt and Sheila's podiatrist had taken a lot gray.	-211.0	-214.0	-11.125	-11.25	True	True	syntax	ellipsis
27	1	Laurie cares for four ill sisters and every cashier cares for five.	Laurie cares for four sisters and every cashier cares for five ill.	-157.0	-151.0	-13.0625	-12.5625	False	False	syntax	ellipsis
28	1	Tiffany was stunning a few displeased nieces of and bananas are stunning several.	Tiffany was stunning a few nieces of and bananas are stunning several displeased.	-164.0	-165.0	-12.625	-12.75	True	True	syntax	ellipsis
29	1	These sisters of Bradley shocks four big mothers and these girls' dermatologists shocks five.	These sisters of Bradley shocks four mothers and these girls' dermatologists shocks five big.	-190.0	-192.0	-12.6875	-12.75	True	True	syntax	ellipsis
30	1	This actress observes three busy students and Monica observes more.	This actress observes three students and Monica observes more busy.	-136.0	-140.0	-13.625	-14.0625	True	True	syntax	ellipsis
31	1	Jesus flees from three determined granddaughters of and Gerald flees from fewer.	Jesus flees from three granddaughters of and Gerald flees from fewer determined.	-147.0	-151.0	-12.25	-12.5625	True	True	syntax	ellipsis
32	1	Dennis talks to a few good students and Monet talks to several.	Dennis talks to a few students and Monet talks to several good.	-139.0	-140.0	-11.625	-11.6875	True	True	syntax	ellipsis
33	1	The libraries bought three green eyes and Colleen bought two.	The libraries bought three eyes and Colleen bought two green.	-143.0	-150.0	-14.25	-15.0	True	True	syntax	ellipsis
34	1	Sharon hasn't concealed one exposed sketch and Theodore hasn't concealed at least as many.	Sharon hasn't concealed one sketch and Theodore hasn't concealed at least as many exposed.	-219.0	-215.0	-12.1875	-11.9375	False	False	syntax	ellipsis
35	1	Maria's senator scanned two upset contractors and this guy scanned three.	Maria's senator scanned two contractors and this guy scanned three upset.	-163.0	-162.0	-12.5625	-12.5	False	False	syntax	ellipsis
36	1	Colleen's students hadn't sounded like three long essays and Mark hadn't sounded like almost as many.	Colleen's students hadn't sounded like three essays and Mark hadn't sounded like almost as many long.	-266.0	-266.0	-12.0625	-12.0625	False	False	syntax	ellipsis
37	1	Those men wear few new shawls and most cousins of the Impressionists wear many.	Those men wear few shawls and most cousins of the Impressionists wear many new.	-187.0	-186.0	-11.6875	-11.625	False	False	syntax	ellipsis
38	1	That book bored many troubled sons and Theresa bored few.	That book bored many sons and Theresa bored few troubled.	-128.0	-127.0	-12.875	-12.6875	False	False	syntax	ellipsis
39	1	Catherine is visiting one confident colleague and every teacher is visiting some.	Catherine is visiting one colleague and every teacher is visiting some confident.	-147.0	-149.0	-12.1875	-12.4375	True	True	syntax	ellipsis
40	1	Debra should praise few nice mothers of and Becky should praise many.	Debra should praise few mothers of and Becky should praise many nice.	-171.0	-175.0	-13.1875	-13.5	True	True	syntax	ellipsis
41	1	Stephanie examines one small mother and Richard's grandfather examines some.	Stephanie examines one mother and Richard's grandfather examines some small.	-152.0	-149.0	-12.6875	-12.375	False	False	syntax	ellipsis
42	1	Ella was stunning one exposed sister of and this dress was stunning several.	Ella was stunning one sister of and this dress was stunning several exposed.	-155.0	-152.0	-11.9375	-11.6875	False	False	syntax	ellipsis
43	1	Anne's doctor cleans one important book and Stacey cleans a few.	Anne's doctor cleans one book and Stacey cleans a few important.	-160.0	-161.0	-12.3125	-12.375	True	True	syntax	ellipsis
44	1	This cake impressed one rough hospital and most essays impressed four.	This cake impressed one hospital and most essays impressed four rough.	-140.0	-144.0	-12.75	-13.125	True	True	syntax	ellipsis
45	1	Peter should scare one hidden girlfriend and Stephanie should scare three.	Peter should scare one girlfriend and Stephanie should scare three hidden.	-155.0	-154.0	-14.0625	-14.0	False	False	syntax	ellipsis
46	1	The sisters of Keith disturbed three exposed nieces and Edward disturbed almost as many.	The sisters of Keith disturbed three nieces and Edward disturbed almost as many exposed.	-191.0	-190.0	-13.625	-13.625	False	False	syntax	ellipsis
47	1	Jill has climbed down one out in the open hill and Phillip has climbed down more.	Jill has climbed down one hill and Phillip has climbed down more out in the open.	-189.0	-192.0	-11.8125	-12.0	True	True	syntax	ellipsis
48	1	Tara had revealed no delighted ladies and the lady's electricians had revealed some.	Tara had revealed no ladies and the lady's electricians had revealed some delighted.	-172.0	-173.0	-11.4375	-11.5	True	True	syntax	ellipsis
49	1	Many daughters of Sarah were exiting one rough library and Renee wasn't exiting three.	Many daughters of Sarah were exiting one library and Renee wasn't exiting three rough.	-194.0	-195.0	-12.125	-12.1875	True	True	syntax	ellipsis
50	1	Some guest has distracted one important organization and Curtis's hairdresser has distracted four.	Some guest has distracted one organization and Curtis's hairdresser has distracted four important.	-200.0	-201.0	-13.3125	-13.375	True	True	syntax	ellipsis
51	1	Every actor's ex-girlfriend disturbs one hidden daughter of and this closet disturbs at least as many.	Every actor's ex-girlfriend disturbs one daughter of and this closet disturbs at least as many hidden.	-229.0	-226.0	-11.4375	-11.25	False	False	syntax	ellipsis
52	1	Glasses might scare one content ex-girlfriend and Noah might scare some.	Glasses might scare one ex-girlfriend and Noah might scare some content.	-191.0	-191.0	-13.625	-13.625	False	False	syntax	ellipsis
53	1	A guest's tutors aggravate one unsure contractor and these glasses aggravate three.	A guest's tutors aggravate one contractor and these glasses aggravate three unsure.	-186.0	-185.0	-13.25	-13.1875	False	False	syntax	ellipsis
54	1	The bikes have bored three happy ladies and Mary hadn't bored almost as many.	The bikes have bored three ladies and Mary hadn't bored almost as many happy.	-216.0	-211.0	-13.5	-13.1875	False	False	syntax	ellipsis
55	1	Denise saw a lot of unlucky guests and Christine's electricians saw a few.	Denise saw a lot of guests and Christine's electricians saw a few unlucky.	-182.0	-187.0	-12.125	-12.4375	True	True	syntax	ellipsis
56	1	Kirsten couldn't climb up one hidden mountain and Irene couldn't climb up few.	Kirsten couldn't climb up one mountain and Irene couldn't climb up few hidden.	-224.0	-222.0	-11.8125	-11.6875	False	False	syntax	ellipsis
57	1	This brother of Walter is distracting three good governments and Danielle's grandsons aren't distracting almost as many.	This brother of Walter is distracting three governments and Danielle's grandsons aren't distracting almost as many good.	-272.0	-270.0	-13.0	-12.8125	False	False	syntax	ellipsis
