sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	The students perform.	The student perform.	-46.5	-45.5	-11.625	-11.375	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
1	1	The associations talk about Stacey.	The association talk about Stacey.	-71.0	-69.5	-11.875	-11.5625	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
2	1	The glove tightens.	The gloves tightens.	-53.5	-52.5	-13.375	-13.125	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
3	1	The actresses compromise.	The actress compromise.	-52.75	-48.25	-13.1875	-12.0625	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
4	1	The customer is suffering.	The customers is suffering.	-57.75	-60.0	-11.5625	-12.0	True	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
5	1	The cashiers marry.	The cashier marry.	-60.75	-52.5	-12.125	-13.125	False	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
6	1	The hospital appreciates Claire.	The hospitals appreciates Claire.	-62.75	-62.0	-12.5625	-12.4375	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
7	1	The dress crumples.	The dresses crumples.	-58.25	-61.5	-11.6875	-12.3125	True	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
8	1	The customers haven't whispered.	The customer haven't whispered.	-77.5	-76.5	-11.0625	-10.9375	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
9	1	The adult talks.	The adults talks.	-45.5	-49.0	-11.375	-12.25	True	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
10	1	The universities aren't working hard.	The university aren't working hard.	-86.0	-86.5	-10.75	-10.8125	True	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
11	1	The adult has concealed all stories.	The adults has concealed all stories.	-81.0	-82.5	-11.5625	-11.8125	True	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
12	1	The universities appreciate all teenagers.	The university appreciate all teenagers.	-71.5	-70.5	-11.875	-11.75	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
13	1	The teachers weren't murmuring.	The teacher weren't murmuring.	-91.0	-90.5	-11.375	-11.3125	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
14	1	The couch has tipped over.	The couchs has tipped over.	-71.0	-85.0	-11.875	-12.125	True	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
15	1	The boy conceals every cup.	The boys conceals every cup.	-73.5	-74.5	-12.25	-12.4375	True	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
16	1	The organization wasn't corresponding.	The organizations wasn't corresponding.	-78.0	-79.5	-11.125	-11.375	True	True	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
17	1	The libraries weren't hurting Ellen.	The library weren't hurting Ellen.	-89.5	-88.5	-11.1875	-11.0625	False	False	morphology	subject_verb_agreement	Write a natural, coherent English sentence.
