sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Mark figured out that most governments appreciate Steve.	Mark figured out who most governments appreciate Steve.	-91.0	-91.0	-11.375	-11.375	False	False	syntax	filler_gap_dependency
1	1	Danielle finds out that many organizations have alarmed Chad.	Danielle finds out who many organizations have alarmed Chad.	-112.5	-112.5	-11.25	-11.25	False	False	syntax	filler_gap_dependency
2	1	Veronica investigated that students might remember Julie.	Veronica investigated who students might remember Julie.	-91.0	-91.5	-11.375	-11.4375	True	True	syntax	filler_gap_dependency
3	1	The Impressionists learn that some stories can't sound like Carl.	The Impressionists learn who some stories can't sound like Carl.	-147.0	-147.0	-11.3125	-11.3125	False	False	syntax	filler_gap_dependency
4	1	The waiters learn that most guests wouldn't have every hospital.	The waiters learn what most guests wouldn't have every hospital.	-136.0	-137.0	-11.375	-11.375	True	False	syntax	filler_gap_dependency
5	1	Some girls revealed that all waitresses hadn't cleaned the cup.	Some girls revealed what all waitresses hadn't cleaned the cup.	-137.0	-137.0	-11.375	-11.375	False	False	syntax	filler_gap_dependency
6	1	Sandra was figuring out that these guys saw Douglas.	Sandra was figuring out who these guys saw Douglas.	-113.5	-113.5	-11.375	-11.375	False	False	syntax	filler_gap_dependency
7	1	The Lutherans know that some fungi were alarming that association.	The Lutherans know what some fungi were alarming that association.	-124.0	-124.0	-11.3125	-11.3125	False	False	syntax	filler_gap_dependency
8	1	Carmen finds out that the customers have run around many cafes.	Carmen finds out what the customers have run around many cafes.	-148.0	-148.0	-11.375	-11.375	False	False	syntax	filler_gap_dependency
9	1	Carrie should find out that some cart disturbs Nancy.	Carrie should find out who some cart disturbs Nancy.	-125.0	-125.0	-11.375	-11.375	False	False	syntax	filler_gap_dependency
10	1	Deborah has forgotten that the offspring ran around the mountains.	Deborah has forgotten what the offspring ran around the mountains.	-125.5	-125.5	-11.375	-11.375	False	False	syntax	filler_gap_dependency
11	1	Katherine found out that that cashier didn't sell some ice cream.	Katherine found out what that cashier didn't sell some ice cream.	-148.0	-148.0	-11.4375	-11.4375	False	False	syntax	filler_gap_dependency
12	1	Connie forgot that the woman doesn't describe some stories.	Connie forgot what the woman doesn't describe some stories.	-124.5	-124.5	-11.3125	-11.3125	False	False	syntax	filler_gap_dependency
13	1	Randolf has found out that a lot of adults aren't working with these teenagers.	Randolf has found out who a lot of adults aren't working with these teenagers.	-181.0	-182.0	-11.3125	-11.375	True	True	syntax	filler_gap_dependency
14	1	Rebecca has forgotten that a pepper upset Ronald.	Rebecca has forgotten who a pepper upset Ronald.	-103.0	-103.0	-11.4375	-11.5	False	True	syntax	filler_gap_dependency
