sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	Steven explains Kayla won't hurt herself.	Kayla explains Steven won't hurt herself.	-106.0	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
1	1	Gina explains Alan fires himself.	Alan explains Gina fires himself.	-82.5	-70.5	-11.75	-11.75	False	False	syntax_semantics	binding
2	1	Paul did think Alice hugs herself.	Alice did think Paul hugs herself.	-82.5	-82.0	-11.75	-11.75	False	False	syntax_semantics	binding
3	1	Beverly imagines Carla's ex-boyfriend hates himself.	Carla's ex-boyfriend imagines Beverly hates himself.	-153.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
4	1	Randolf imagines Kayla sounds like herself.	Kayla imagines Randolf sounds like herself.	-117.5	-117.5	-11.75	-11.75	False	False	syntax_semantics	binding
5	1	Tonya explains Kevin would boast about himself.	Kevin explains Tonya would boast about himself.	-106.0	-105.5	-11.8125	-11.75	False	False	syntax_semantics	binding
6	1	Adam can explain Katherine will describe herself.	Katherine can explain Adam will describe herself.	-94.0	-106.0	-11.75	-11.8125	True	True	syntax_semantics	binding
7	1	Nancy could say every guy hides himself.	Every guy could say Nancy hides himself.	-106.0	-94.0	-11.8125	-11.75	False	False	syntax_semantics	binding
8	1	Claire says Lawrence attacks himself.	Lawrence says Claire attacks himself.	-82.5	-82.0	-11.8125	-11.75	False	False	syntax_semantics	binding
9	1	Donna explains Gerald could boast about himself.	Gerald explains Donna could boast about himself.	-105.5	-106.0	-11.75	-11.75	True	False	syntax_semantics	binding
10	1	Rachel did explain Steve couldn't praise himself.	Steve did explain Rachel couldn't praise himself.	-106.0	-106.0	-11.8125	-11.75	False	False	syntax_semantics	binding
11	1	Jeffrey would imagine Caroline watches herself.	Caroline would imagine Jeffrey watches herself.	-94.0	-94.0	-11.75	-11.75	False	False	syntax_semantics	binding
12	1	Martha should think Wayne conceals himself.	Wayne should think Martha conceals himself.	-105.5	-106.0	-11.75	-11.75	True	False	syntax_semantics	binding
13	1	Maria imagines Bill praises himself.	Bill imagines Maria praises himself.	-82.0	-82.0	-11.75	-11.75	False	False	syntax_semantics	binding
14	1	Jill could explain Ronald will hide himself.	Ronald could explain Jill will hide himself.	-106.0	-105.5	-11.75	-11.75	False	False	syntax_semantics	binding
15	1	Teresa imagines Liam didn't distract himself.	Liam imagines Teresa didn't distract himself.	-118.0	-118.0	-11.8125	-11.75	False	False	syntax_semantics	binding
16	1	Andrew's father couldn't imagine Melanie could conceal herself.	Melanie couldn't imagine Andrew's father could conceal herself.	-130.0	-141.0	-11.8125	-11.75	True	False	syntax_semantics	binding
17	1	Carl explains Carmen might approach herself.	Carmen explains Carl might approach herself.	-82.0	-106.0	-11.75	-11.8125	True	True	syntax_semantics	binding
18	1	Amelia should explain George kisses himself.	George should explain Amelia kisses himself.	-94.0	-82.5	-11.75	-11.75	False	False	syntax_semantics	binding
19	1	Susan says Eric helps himself.	Eric says Susan helps himself.	-70.5	-71.0	-11.75	-11.8125	True	True	syntax_semantics	binding
20	1	Diane explains Laurie's boyfriend should remember himself.	Laurie's boyfriend explains Diane should remember himself.	-118.0	-129.0	-11.8125	-11.75	True	False	syntax_semantics	binding
21	1	Tanya thinks Sandra's boyfriend talks about himself.	Sandra's boyfriend thinks Tanya talks about himself.	-118.0	-130.0	-11.8125	-11.8125	True	False	syntax_semantics	binding
22	1	Stacey doesn't explain that man doesn't help himself.	That man doesn't explain Stacey doesn't help himself.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
23	1	Tammy imagines Randolf doesn't alarm himself.	Randolf imagines Tammy doesn't alarm himself.	-129.0	-129.0	-11.75	-11.75	False	False	syntax_semantics	binding
24	1	Kayla couldn't say Winston Churchill's son loves himself.	Winston Churchill's son couldn't say Kayla loves himself.	-141.0	-153.0	-11.75	-11.75	True	False	syntax_semantics	binding
25	1	Brenda can't imagine Adam did leave himself.	Adam can't imagine Brenda did leave himself.	-130.0	-105.5	-11.8125	-11.75	False	False	syntax_semantics	binding
26	1	Elaine thinks Aaron cares for himself.	Aaron thinks Elaine cares for himself.	-94.5	-82.5	-11.8125	-11.75	False	False	syntax_semantics	binding
27	1	Guy thinks Tanya wouldn't sound like herself.	Tanya thinks Guy wouldn't sound like herself.	-117.5	-118.0	-11.75	-11.8125	True	True	syntax_semantics	binding
28	1	Laurie imagines Andrew can't conceal himself.	Andrew imagines Laurie can't conceal himself.	-129.0	-106.0	-11.75	-11.8125	False	True	syntax_semantics	binding
29	1	Bradley could say Dana will like herself.	Dana could say Bradley will like herself.	-106.0	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
30	1	Russell should say Diane notices herself.	Diane should say Russell notices herself.	-94.0	-94.5	-11.75	-11.8125	True	True	syntax_semantics	binding
31	1	Kathleen says Samuel won't like himself.	Samuel says Kathleen won't like himself.	-118.0	-106.0	-11.8125	-11.75	False	False	syntax_semantics	binding
32	1	Donna does imagine some boy could flee from himself.	Some boy does imagine Donna could flee from himself.	-129.0	-117.5	-11.75	-11.75	False	False	syntax_semantics	binding
33	1	Christina should imagine Gerald might know himself.	Gerald should imagine Christina might know himself.	-106.0	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
34	1	Grace thinks Travis doesn't embarrass himself.	Travis thinks Grace doesn't embarrass himself.	-94.0	-106.0	-11.75	-11.75	True	False	syntax_semantics	binding
35	1	Ronald couldn't think Debra listens to herself.	Debra couldn't think Ronald listens to herself.	-129.0	-118.0	-11.75	-11.75	False	False	syntax_semantics	binding
36	1	Renee thinks Frank might work with himself.	Frank thinks Renee might work with himself.	-118.0	-105.5	-11.8125	-11.75	False	False	syntax_semantics	binding
37	1	Sarah does explain Rodney didn't think about himself.	Rodney does explain Sarah didn't think about himself.	-117.5	-129.0	-11.75	-11.75	True	False	syntax_semantics	binding
38	1	Andrew will think Pamela complains about herself.	Pamela will think Andrew complains about herself.	-94.5	-118.0	-11.8125	-11.8125	True	False	syntax_semantics	binding
39	1	Frank's ex-girlfriend thinks Douglas complains about himself.	Douglas thinks Frank's ex-girlfriend complains about himself.	-129.0	-141.0	-11.75	-11.75	True	False	syntax_semantics	binding
40	1	Samuel's niece can think Paula's nephew should annoy himself.	Paula's nephew can think Samuel's niece should annoy himself.	-153.0	-153.0	-11.75	-11.75	False	False	syntax_semantics	binding
41	1	David can't imagine Sara cures herself.	Sara can't imagine David cures herself.	-105.5	-118.0	-11.75	-11.8125	True	True	syntax_semantics	binding
42	1	Patricia can't explain James conceals himself.	James can't explain Patricia conceals himself.	-117.0	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
43	1	Florence's grandmother imagines Bradley shouldn't stun himself.	Bradley imagines Florence's grandmother shouldn't stun himself.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
44	1	Cheryl will imagine Kenneth visits himself.	Kenneth will imagine Cheryl visits himself.	-94.0	-94.0	-11.75	-11.75	False	False	syntax_semantics	binding
45	1	Leslie won't explain Carlos works with himself.	Carlos won't explain Leslie works with himself.	-117.5	-105.5	-11.75	-11.75	False	False	syntax_semantics	binding
46	1	Holly explains Guy describes himself.	Guy explains Holly describes himself.	-82.5	-70.5	-11.75	-11.75	False	False	syntax_semantics	binding
47	1	Teresa explains Alan should reference himself.	Alan explains Teresa should reference himself.	-94.5	-82.0	-11.8125	-11.75	False	False	syntax_semantics	binding
48	1	Samuel didn't think Leslie can care for herself.	Leslie didn't think Samuel can care for herself.	-129.0	-129.0	-11.75	-11.75	False	False	syntax_semantics	binding
49	1	Jason imagines Heather could praise herself.	Heather imagines Jason could praise herself.	-94.0	-106.0	-11.75	-11.75	True	False	syntax_semantics	binding
50	1	Carolyn's husband can explain David's sister didn't bother herself.	David's sister can explain Carolyn's husband didn't bother herself.	-165.0	-153.0	-11.75	-11.75	False	False	syntax_semantics	binding
51	1	Amelia says Phillip didn't embarrass himself.	Phillip says Amelia didn't embarrass himself.	-106.0	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
52	1	Veronica didn't explain Guy could remember himself.	Guy didn't explain Veronica could remember himself.	-117.5	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
53	1	George thinks Mary remembers herself.	Mary thinks George remembers herself.	-70.5	-70.5	-11.75	-11.75	False	False	syntax_semantics	binding
54	1	Brad should imagine Sarah might embarrass herself.	Sarah should imagine Brad might embarrass herself.	-94.0	-94.0	-11.75	-11.75	False	False	syntax_semantics	binding
55	1	Timothy imagines Ella does return to herself.	Ella imagines Timothy does return to herself.	-117.5	-118.0	-11.75	-11.75	True	False	syntax_semantics	binding
56	1	Frank explains Catherine might argue about herself.	Catherine explains Frank might argue about herself.	-94.0	-106.0	-11.75	-11.8125	True	True	syntax_semantics	binding
57	1	Elizabeth would imagine Curtis hides himself.	Curtis would imagine Elizabeth hides himself.	-82.5	-106.0	-11.8125	-11.8125	True	False	syntax_semantics	binding
58	1	Janice won't explain Craig observes himself.	Craig won't explain Janice observes himself.	-105.5	-106.0	-11.75	-11.8125	True	True	syntax_semantics	binding
59	1	Every woman explains Craig wouldn't respect himself.	Craig explains every woman wouldn't respect himself.	-106.0	-106.0	-11.75	-11.8125	False	True	syntax_semantics	binding
60	1	Derek explains Ruth talks about herself.	Ruth explains Derek talks about herself.	-94.0	-94.5	-11.75	-11.8125	True	True	syntax_semantics	binding
61	1	Angela's ex-wife imagines that guy doesn't listen to himself.	That guy imagines Angela's ex-wife doesn't listen to himself.	-177.0	-164.0	-11.75	-11.75	False	False	syntax_semantics	binding
62	1	Diana doesn't think Keith sounds like himself.	Keith doesn't think Diana sounds like himself.	-118.0	-105.5	-11.75	-11.75	False	False	syntax_semantics	binding
63	1	Melissa imagines Vincent could respect himself.	Vincent imagines Melissa could respect himself.	-106.0	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
64	1	Holly does say Alexander does visit himself.	Alexander does say Holly does visit himself.	-106.0	-94.0	-11.75	-11.75	False	False	syntax_semantics	binding
65	1	That actress didn't say Kathleen's ex-boyfriend cures himself.	Kathleen's ex-boyfriend didn't say that actress cures himself.	-164.0	-188.0	-11.75	-11.75	True	False	syntax_semantics	binding
66	1	Stacey thinks Mitchell couldn't astound himself.	Mitchell thinks Stacey couldn't astound himself.	-117.5	-129.0	-11.75	-11.75	True	False	syntax_semantics	binding
67	1	Benjamin says Melanie will attack herself.	Melanie says Benjamin will attack herself.	-94.5	-94.5	-11.8125	-11.8125	False	False	syntax_semantics	binding
68	1	That woman says Noah won't worry himself.	Noah says that woman won't worry himself.	-106.0	-117.5	-11.75	-11.75	True	False	syntax_semantics	binding
69	1	Omar can't explain Katherine fires herself.	Katherine can't explain Omar fires herself.	-106.0	-106.0	-11.8125	-11.8125	False	False	syntax_semantics	binding
70	1	Sara doesn't think Bradley dislikes himself.	Bradley doesn't think Sara dislikes himself.	-106.0	-106.0	-11.8125	-11.75	False	False	syntax_semantics	binding
71	1	Heidi's ex-husband imagines guests' ex-girlfriend didn't disagree with herself.	Guests' ex-girlfriend imagines Heidi's ex-husband didn't disagree with herself.	-223.0	-223.0	-11.75	-11.75	False	False	syntax_semantics	binding
72	1	Melinda doesn't imagine Peter will fire himself.	Peter doesn't imagine Melinda will fire himself.	-118.0	-117.5	-11.75	-11.75	False	False	syntax_semantics	binding
73	1	Richard imagines some actress disturbs herself.	Some actress imagines Richard disturbs herself.	-106.0	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
