sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	A lot of patients who can sell some couch didn't investigate themselves.	A lot of patients who can sell some couch didn't investigate itself.	-165.0	-165.0	-11.75	-11.75	False	False	syntax_semantics	binding
1	1	A lot of actresses that thought about Alice healed themselves.	A lot of actresses that thought about Alice healed herself.	-130.0	-130.0	-11.8125	-11.8125	False	False	syntax_semantics	binding
2	1	A guy that has seen the wheelbarrow notices himself.	A guy that has seen the wheelbarrow notices itself.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
3	1	The children that were complaining about Gregory hated themselves.	The children that were complaining about Gregory hated himself.	-117.5	-117.5	-11.75	-11.75	False	False	syntax_semantics	binding
4	1	Every boy that isn't selling the grocery stores isn't healing himself.	Every boy that isn't selling the grocery stores isn't healing themselves.	-164.0	-164.0	-11.75	-11.75	False	False	syntax_semantics	binding
5	1	The hospitals that talk to Ann talked to themselves.	The hospitals that talk to Ann talked to herself.	-118.0	-118.0	-11.75	-11.75	False	False	syntax_semantics	binding
6	1	Many skirts that stun some waitress are boring themselves.	Many skirts that stun some waitress are boring herself.	-117.5	-118.0	-11.75	-11.75	True	False	syntax_semantics	binding
7	1	All men that might fire Tiffany have worked with themselves.	All men that might fire Tiffany have worked with herself.	-130.0	-130.0	-11.75	-11.8125	False	True	syntax_semantics	binding
8	1	That actress who admired the cup praises herself.	That actress who admired the cup praises itself.	-106.0	-105.5	-11.75	-11.75	False	False	syntax_semantics	binding
9	1	This lady who is healing Charles wasn't hiding herself.	This lady who is healing Charles wasn't hiding himself.	-129.0	-129.0	-11.75	-11.75	False	False	syntax_semantics	binding
10	1	Every woman that was hiring the Borgias argued about herself.	Every woman that was hiring the Borgias argued about themselves.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
11	1	Every lady who does walk through a lot of movie theaters hadn't hugged herself.	Every lady who does walk through a lot of movie theaters hadn't hugged themselves.	-188.0	-188.0	-11.75	-11.75	False	False	syntax_semantics	binding
12	1	These doctors who do leave Melissa fled from themselves.	These doctors who do leave Melissa fled from herself.	-116.5	-117.0	-11.6875	-11.6875	True	False	syntax_semantics	binding
13	1	These ladies that hadn't forgotten Victoria fled from themselves.	These ladies that hadn't forgotten Victoria fled from herself.	-129.0	-129.0	-11.6875	-11.6875	False	False	syntax_semantics	binding
14	1	The customers who embarrass Kevin are discussing themselves.	The customers who embarrass Kevin are discussing himself.	-106.0	-106.0	-11.75	-11.75	False	False	syntax_semantics	binding
15	1	Some steak that scares Stacy doesn't shock itself.	Some steak that scares Stacy doesn't shock herself.	-117.0	-117.0	-11.75	-11.75	False	False	syntax_semantics	binding
16	1	All ladies who were bothering Dan observed themselves.	All ladies who were bothering Dan observed himself.	-106.0	-106.0	-11.8125	-11.8125	False	False	syntax_semantics	binding
17	1	The woman who hadn't taken a screen should respect herself.	The woman who hadn't taken a screen should respect itself.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
18	1	Most women who were arriving at every hospital fired themselves.	Most women who were arriving at every hospital fired itself.	-129.0	-129.0	-11.75	-11.75	False	False	syntax_semantics	binding
19	1	Some hill that could distract Barbara is alarming itself.	Some hill that could distract Barbara is alarming herself.	-117.5	-117.5	-11.75	-11.75	False	False	syntax_semantics	binding
20	1	A lot of senators who climbed down the hill hired themselves.	A lot of senators who climbed down the hill hired itself.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
21	1	The dancers who haven't shocked Candice aren't appreciating themselves.	The dancers who haven't shocked Candice aren't appreciating herself.	-164.0	-165.0	-11.75	-11.75	True	False	syntax_semantics	binding
22	1	A legislature that wouldn't criticize Patrick hasn't helped itself.	A legislature that wouldn't criticize Patrick hasn't helped himself.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
23	1	Most guests who were revealing Colleen weren't complaining about themselves.	Most guests who were revealing Colleen weren't complaining about herself.	-153.0	-153.0	-11.75	-11.75	False	False	syntax_semantics	binding
24	1	A guy who hasn't annoyed Laura argued about himself.	A guy who hasn't annoyed Laura argued about herself.	-130.0	-130.0	-11.75	-11.75	False	False	syntax_semantics	binding
25	1	That company that had known Sandra annoyed itself.	That company that had known Sandra annoyed herself.	-105.5	-105.5	-11.75	-11.75	False	False	syntax_semantics	binding
26	1	Those senators who had a slope have cared for themselves.	Those senators who had a slope have cared for itself.	-130.0	-130.0	-11.8125	-11.8125	False	False	syntax_semantics	binding
27	1	A cat that hasn't impressed Joseph couldn't distract itself.	A cat that hasn't impressed Joseph couldn't distract himself.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
28	1	Some association that had forgotten Claire insults itself.	Some association that had forgotten Claire insults herself.	-105.0	-105.0	-11.6875	-11.6875	False	False	syntax_semantics	binding
29	1	That plane that was scaring Wendy has disgusted itself.	That plane that was scaring Wendy has disgusted herself.	-129.0	-129.0	-11.75	-11.75	False	False	syntax_semantics	binding
30	1	The dancer who has brought those fish could care for herself.	The dancer who has brought those fish could care for themselves.	-141.0	-141.0	-11.75	-11.75	False	False	syntax_semantics	binding
31	1	Some boy that disturbed Jill could argue about himself.	Some boy that disturbed Jill could argue about herself.	-117.0	-117.0	-11.6875	-11.75	False	True	syntax_semantics	binding
32	1	Some woman that was exploring some hill can't think about herself.	Some woman that was exploring some hill can't think about itself.	-152.0	-152.0	-11.6875	-11.6875	False	False	syntax_semantics	binding
33	1	All actors that disgust Veronica escaped from themselves.	All actors that disgust Veronica escaped from herself.	-106.0	-106.0	-11.8125	-11.8125	False	False	syntax_semantics	binding
34	1	Some museum that doesn't like a waitress was praising itself.	Some museum that doesn't like a waitress was praising herself.	-140.0	-140.0	-11.6875	-11.6875	False	False	syntax_semantics	binding
35	1	These pies that were embarrassing Jennifer are annoying themselves.	These pies that were embarrassing Jennifer are annoying herself.	-117.0	-117.0	-11.6875	-11.6875	False	False	syntax_semantics	binding
36	1	The book that is disgusting dancers would irritate itself.	The book that is disgusting dancers would irritate themselves.	-129.0	-129.0	-11.75	-11.75	False	False	syntax_semantics	binding
37	1	The drivers who attack Jodi haven't revealed themselves.	The drivers who attack Jodi haven't revealed herself.	-130.0	-130.0	-11.75	-11.75	False	False	syntax_semantics	binding
