sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term
0	1	No girl attacked fewer than two waiters.	No girl attacked at most two waiters.	-600.0	-584.0	-75.0	-73.0	False	False	semantics	quantifiers
1	1	No person would bring fewer than three gates.	No person would bring at most three gates.	-652.0	-648.0	-72.5	-72.0	False	False	semantics	quantifiers
2	1	No actor had driven to fewer than four malls.	No actor had driven to at most four malls.	-568.0	-616.0	-56.5	-61.5	True	True	semantics	quantifiers
3	1	No pedestrian is observing more than seven waiters.	No pedestrian is observing at least seven waiters.	-600.0	-588.0	-67.0	-65.5	False	False	semantics	quantifiers
4	1	No boy could reference fewer than nine drivers.	No boy could reference at most nine drivers.	-616.0	-636.0	-68.5	-70.5	True	True	semantics	quantifiers
5	1	No actor has sounded like more than nine mountains.	No actor has sounded like at least nine mountains.	-564.0	-576.0	-56.25	-57.5	True	True	semantics	quantifiers
6	1	No sock annoyed more than seven companies.	No sock annoyed at least seven companies.	-576.0	-572.0	-72.0	-71.5	False	False	semantics	quantifiers
7	1	No man has revealed more than five forks.	No man has revealed at least five forks.	-548.0	-528.0	-61.0	-58.75	False	False	semantics	quantifiers
8	1	No customer would resemble more than eight pictures.	No customer would resemble at least eight pictures.	-612.0	-620.0	-68.0	-69.0	True	True	semantics	quantifiers
9	1	No waiter had referenced more than ten teenagers.	No waiter had referenced at least ten teenagers.	-624.0	-616.0	-69.0	-68.5	False	False	semantics	quantifiers
10	1	No adult skated around more than seven lakes.	No adult skated around at least seven lakes.	-680.0	-684.0	-68.0	-68.5	True	True	semantics	quantifiers
11	1	No woman exited fewer than five public parks.	No woman exited at most five public parks.	-592.0	-596.0	-65.5	-66.0	True	True	semantics	quantifiers
12	1	No hamster had climbed down more than five hills.	No hamster had climbed down at least five hills.	-604.0	-596.0	-60.5	-59.75	False	False	semantics	quantifiers
13	1	No university might confuse fewer than four men.	No university might confuse at most four men.	-664.0	-688.0	-74.0	-76.0	True	True	semantics	quantifiers
14	1	No lady brought more than two high schools.	No lady brought at least two high schools.	-556.0	-552.0	-61.5	-61.25	False	False	semantics	quantifiers
15	1	No apple distracted fewer than five hospitals.	No apple distracted at most five hospitals.	-600.0	-620.0	-75.0	-77.5	True	True	semantics	quantifiers
16	1	No actor complained about more than two actresses.	No actor complained about at least two actresses.	-540.0	-532.0	-60.25	-59.0	False	False	semantics	quantifiers
17	1	No college campus astounded more than five libraries.	No college campus astounded at least five libraries.	-660.0	-652.0	-66.0	-65.5	False	False	semantics	quantifiers
18	1	No cafe is disgusting more than seven associations.	No cafe is disgusting at least seven associations.	-616.0	-604.0	-68.5	-67.0	False	False	semantics	quantifiers
19	1	No guest was touring fewer than nine schools.	No guest was touring at most nine schools.	-592.0	-576.0	-66.0	-63.75	False	False	semantics	quantifiers
20	1	No actor remembers fewer than seven documentaries.	No actor remembers at most seven documentaries.	-564.0	-568.0	-70.5	-71.0	True	True	semantics	quantifiers
21	1	No wheelbarrow does hurt more than nine dancers.	No wheelbarrow does hurt at least nine dancers.	-620.0	-608.0	-62.0	-61.0	False	False	semantics	quantifiers
22	1	No driver was researching more than three associations.	No driver was researching at least three associations.	-600.0	-588.0	-66.5	-65.5	False	False	semantics	quantifiers
23	1	No adult is passing fewer than five schools.	No adult is passing at most five schools.	-612.0	-620.0	-68.0	-68.5	True	True	semantics	quantifiers
24	1	No actor could approach fewer than ten waiters.	No actor could approach at most ten waiters.	-612.0	-608.0	-68.0	-67.5	False	False	semantics	quantifiers
25	1	No actress was skated around fewer than seven rivers.	No actress was skated around at most seven rivers.	-684.0	-704.0	-62.0	-64.0	True	True	semantics	quantifiers
26	1	No guest visits more than nine cashiers.	No guest visits at least nine cashiers.	-560.0	-536.0	-62.0	-59.75	False	False	semantics	quantifiers
27	1	No eggplant has worried fewer than seven boys.	No eggplant has worried at most seven boys.	-636.0	-644.0	-70.5	-71.5	True	True	semantics	quantifiers
28	1	No man had discussed fewer than nine high schools.	No man had discussed at most nine high schools.	-628.0	-612.0	-62.5	-61.25	False	False	semantics	quantifiers
29	1	No cart has aggravated fewer than two actresses.	No cart has aggravated at most two actresses.	-596.0	-608.0	-66.5	-67.5	True	True	semantics	quantifiers
30	1	No library had forgotten fewer than nine commentaries.	No library had forgotten at most nine commentaries.	-620.0	-632.0	-68.5	-70.0	True	True	semantics	quantifiers
31	1	No guest is hiding more than eight bikes.	No guest is hiding at least eight bikes.	-568.0	-560.0	-63.0	-62.25	False	False	semantics	quantifiers
32	1	No teenager cleaned more than two college campuses.	No teenager cleaned at least two college campuses.	-624.0	-600.0	-69.5	-66.5	False	False	semantics	quantifiers
33	1	No guest had discussed more than three essays.	No guest had discussed at least three essays.	-580.0	-552.0	-64.5	-61.5	False	False	semantics	quantifiers
34	1	No patient had talked to more than four teachers.	No patient had talked to at least four teachers.	-612.0	-624.0	-61.25	-62.25	True	True	semantics	quantifiers
35	1	No waitress descends fewer than four ladders.	No waitress descends at most four ladders.	-648.0	-656.0	-81.0	-82.0	True	True	semantics	quantifiers
36	1	No guest discovers more than nine blouses.	No guest discovers at least nine blouses.	-544.0	-540.0	-68.0	-67.5	False	False	semantics	quantifiers
37	1	No slope disturbs more than three men.	No slope disturbs at least three men.	-596.0	-572.0	-74.5	-71.5	False	False	semantics	quantifiers
38	1	No guy has helped fewer than seven actresses.	No guy has helped at most seven actresses.	-624.0	-632.0	-69.5	-70.5	True	True	semantics	quantifiers
39	1	No guest could wear fewer than three scarves.	No guest could wear at most three scarves.	-644.0	-660.0	-71.5	-73.5	True	True	semantics	quantifiers
40	1	No driver climbs up more than five hills.	No driver climbs up at least five hills.	-552.0	-552.0	-61.5	-61.5	False	False	semantics	quantifiers
41	1	No commentary had sounded like fewer than nine glaciers.	No commentary had sounded like at most nine glaciers.	-640.0	-680.0	-64.0	-68.0	True	True	semantics	quantifiers
42	1	No actress upset fewer than ten waiters.	No actress upset at most ten waiters.	-588.0	-596.0	-73.5	-74.5	True	True	semantics	quantifiers
43	1	No girl passes fewer than two college campuses.	No girl passes at most two college campuses.	-644.0	-640.0	-71.5	-71.0	False	False	semantics	quantifiers
44	1	No pepper resembles more than two sketches.	No pepper resembles at least two sketches.	-572.0	-564.0	-71.5	-70.5	False	False	semantics	quantifiers
45	1	No teacher had arrived at fewer than eight banks.	No teacher had arrived at at most eight banks.	-580.0	-604.0	-58.25	-60.25	True	True	semantics	quantifiers
46	1	No child has complained about fewer than nine documentaries.	No child has complained about at most nine documentaries.	-624.0	-640.0	-62.25	-64.0	True	True	semantics	quantifiers
47	1	No adult lifts more than two cakes.	No adult lifts at least two cakes.	-572.0	-552.0	-71.5	-69.0	False	False	semantics	quantifiers
48	1	No museum might fire more than ten teachers.	No museum might fire at least ten teachers.	-648.0	-640.0	-72.0	-71.0	False	False	semantics	quantifiers
49	1	No doctor distracted more than four museums.	No doctor distracted at least four museums.	-588.0	-580.0	-73.5	-72.5	False	False	semantics	quantifiers
50	1	No waiter broke fewer than seven forks.	No waiter broke at most seven forks.	-596.0	-588.0	-74.5	-73.5	False	False	semantics	quantifiers
51	1	No government listened to fewer than four waitresses.	No government listened to at most four waitresses.	-608.0	-652.0	-60.75	-65.0	True	True	semantics	quantifiers
52	1	No boy knew fewer than six guys.	No boy knew at most six guys.	-572.0	-600.0	-71.5	-75.0	True	True	semantics	quantifiers
53	1	No painting could embarrass more than five women.	No painting could embarrass at least five women.	-600.0	-596.0	-66.5	-66.0	False	False	semantics	quantifiers
54	1	No teacher helped more than eight waiters.	No teacher helped at least eight waiters.	-568.0	-564.0	-71.0	-70.5	False	False	semantics	quantifiers
55	1	No lady walked through fewer than ten banks.	No lady walked through at most ten banks.	-600.0	-608.0	-66.5	-67.5	True	True	semantics	quantifiers
56	1	No cashier has observed fewer than two waiters.	No cashier has observed at most two waiters.	-600.0	-596.0	-66.5	-66.5	False	False	semantics	quantifiers
57	1	No print will look like more than two fish.	No print will look like at least two fish.	-612.0	-616.0	-61.25	-61.5	True	True	semantics	quantifiers
58	1	No patient hugged more than five people.	No patient hugged at least five people.	-576.0	-564.0	-72.0	-70.5	False	False	semantics	quantifiers
59	1	No fish was looking like more than five drawings.	No fish was looking like at least five drawings.	-624.0	-632.0	-62.5	-63.25	True	True	semantics	quantifiers
60	1	No lady might break more than six bikes.	No lady might break at least six bikes.	-644.0	-624.0	-71.5	-69.0	False	False	semantics	quantifiers
61	1	No hospital had loved fewer than eight patients.	No hospital had loved at most eight patients.	-576.0	-572.0	-64.0	-63.75	False	False	semantics	quantifiers
62	1	No boy notices more than seven schools.	No boy notices at least seven schools.	-540.0	-528.0	-67.5	-66.0	False	False	semantics	quantifiers
63	1	No customer ran around more than three restaurants.	No customer ran around at least three restaurants.	-620.0	-616.0	-69.0	-68.5	False	False	semantics	quantifiers
64	1	No doctor arrived at fewer than nine high schools.	No doctor arrived at at most nine high schools.	-604.0	-632.0	-60.5	-63.25	True	True	semantics	quantifiers
65	1	No actress has run around fewer than ten rivers.	No actress has run around at most ten rivers.	-612.0	-624.0	-61.0	-62.25	True	True	semantics	quantifiers
66	1	No guy took more than five snakes.	No guy took at least five snakes.	-548.0	-544.0	-68.5	-68.0	False	False	semantics	quantifiers
67	1	No person will respect fewer than eight students.	No person will respect at most eight students.	-604.0	-612.0	-67.5	-68.0	True	True	semantics	quantifiers
68	1	No committee had boasted about more than six people.	No committee had boasted about at least six people.	-584.0	-584.0	-58.25	-58.5	False	True	semantics	quantifiers
69	1	No boy can investigate more than six women.	No boy can investigate at least six women.	-588.0	-572.0	-65.5	-63.75	False	False	semantics	quantifiers
70	1	No cashier can love fewer than ten stories.	No cashier can love at most ten stories.	-612.0	-600.0	-68.0	-67.0	False	False	semantics	quantifiers
71	1	No teacher is finding fewer than two sketches.	No teacher is finding at most two sketches.	-584.0	-592.0	-65.0	-65.5	True	True	semantics	quantifiers
