sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	A lot of nieces of some actor aren't scared.	A lot of nieces of some actor aren't wept.	-136.0	-147.0	-11.3125	-11.3125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
1	1	Mitchell's grandfathers are forgotten.	Mitchell's grandfathers are concurred.	-101.0	-112.5	-11.25	-11.25	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
2	1	The Clintons were attacked.	The Clintons were replied.	-56.75	-57.0	-11.375	-11.375	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
3	1	Most cashiers are disliked.	Most cashiers are flirted.	-68.0	-79.0	-11.3125	-11.25	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
4	1	A lot of libraries were distracted.	A lot of libraries were communicated.	-79.0	-79.5	-11.3125	-11.3125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
5	1	Kristen wasn't visited.	Kristen wasn't muttered.	-66.5	-66.0	-11.125	-11.0	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
6	1	Stephen was disliked.	Stephen was laughed.	-45.25	-45.0	-11.3125	-11.25	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
7	1	Steve isn't disliked.	Steve isn't lied.	-56.75	-57.0	-11.3125	-11.375	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
8	1	The actresses weren't bored.	The actresses weren't retaliated.	-68.5	-79.5	-11.375	-11.3125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
9	1	Mary wasn't known.	Mary wasn't cried.	-56.75	-57.0	-11.3125	-11.375	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
10	1	Many teachers aren't visited.	Many teachers aren't conspired.	-68.5	-79.5	-11.375	-11.375	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
11	1	Leslie's piano teachers were hired.	Leslie's piano teachers were flirted.	-91.0	-102.0	-11.375	-11.3125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
12	1	Most actors are described.	Most actors are corresponded.	-56.75	-67.5	-11.375	-11.25	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
13	1	Some guy's granddaughter was investigated.	Some guy's granddaughter was screamed.	-79.0	-79.0	-11.3125	-11.3125	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
14	1	Edward was hurt.	Edward was spoken up.	-45.5	-56.75	-11.375	-11.3125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
15	1	All companies are bothered.	All companies are argued.	-56.75	-56.5	-11.3125	-11.3125	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
16	1	Winston Churchill's French teachers aren't loved.	Winston Churchill's French teachers aren't clashed.	-113.0	-113.0	-11.3125	-11.3125	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
17	1	Vincent's partners aren't astounded.	Vincent's partners aren't waved.	-101.5	-90.0	-11.25	-11.25	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
18	1	Bill was disturbed.	Bill was left.	-45.5	-45.25	-11.375	-11.3125	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
19	1	Cindy was insulted.	Cindy was lied.	-68.0	-57.0	-11.3125	-11.4375	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
20	1	Jodi's lawyers were praised.	Jodi's lawyers were struggled.	-79.5	-79.5	-11.375	-11.375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
21	1	Most adults' mentees aren't admired.	Most adults' mentees aren't gone fishing.	-102.0	-113.5	-11.375	-11.3125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
22	1	Paul was kissed.	Paul was screamed.	-45.75	-45.5	-11.4375	-11.375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
23	1	Many patients were impressed.	Many patients were chatted.	-57.0	-68.5	-11.375	-11.375	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
24	1	Carl's daughter is fired.	Carl's daughter is shouted.	-68.0	-67.5	-11.3125	-11.25	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
25	1	The mother of Steve is annoyed.	The mother of Steve is sighed.	-79.0	-79.5	-11.25	-11.3125	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
26	1	Kristin's brothers are astounded.	Kristin's brothers are corresponded.	-90.0	-89.5	-11.25	-11.1875	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
27	1	Eric isn't described.	Eric isn't concurred.	-56.5	-68.0	-11.3125	-11.3125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
28	1	Many dancers weren't disagreed with.	Many dancers weren't worked hard.	-80.0	-79.5	-11.375	-11.375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
29	1	Homer's teachers weren't scanned.	Homer's teachers weren't clashed.	-91.0	-91.0	-11.375	-11.375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
30	1	Carlos wasn't scared.	Carlos wasn't trained.	-57.0	-57.25	-11.4375	-11.4375	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
31	1	Those guests weren't discussed.	Those guests weren't flirted.	-68.5	-79.5	-11.375	-11.3125	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
32	1	These people aren't admired.	These people aren't corresponded.	-68.0	-79.0	-11.375	-11.25	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
33	1	Carla isn't hugged.	Carla isn't wept.	-68.0	-79.5	-11.375	-11.375	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
34	1	Some government isn't bothered.	Some government isn't communicated.	-68.0	-68.0	-11.3125	-11.375	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
35	1	Craig wasn't bothered.	Craig wasn't grinned.	-57.0	-56.75	-11.375	-11.3125	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
36	1	Guy's nieces aren't distracted.	Guy's nieces aren't nodded.	-90.0	-90.5	-11.25	-11.3125	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
37	1	Those guys were visited.	Those guys were waved.	-56.75	-56.5	-11.375	-11.25	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
38	1	Derek is hated.	Derek is shrugged.	-56.5	-56.5	-11.3125	-11.3125	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
39	1	Frank was hired.	Frank was screamed.	-45.5	-45.25	-11.375	-11.3125	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
40	1	All pedestrians are cared for.	All pedestrians are competed.	-68.0	-56.75	-11.375	-11.375	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
41	1	This student wasn't helped.	This student wasn't littered.	-68.0	-79.0	-11.375	-11.25	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
42	1	A lot of guys are loved.	A lot of guys are responded.	-79.5	-79.5	-11.3125	-11.375	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
43	1	Kenneth's doctor isn't talked about.	Kenneth's doctor isn't compromised.	-101.0	-90.0	-11.1875	-11.25	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
44	1	The cucumber is admired.	The cucumber is rotted.	-56.5	-79.0	-11.25	-11.3125	True	True	syntax	argument_structure	Write a natural, coherent English sentence.
45	1	Ronald's hairdressers were escaped from.	Ronald's hairdressers were communicated.	-112.0	-101.0	-11.1875	-11.25	False	True	syntax	argument_structure	Write a natural, coherent English sentence.
46	1	Lisa isn't disgusted.	Lisa isn't murmured.	-56.5	-67.5	-11.3125	-11.25	True	False	syntax	argument_structure	Write a natural, coherent English sentence.
47	1	A girl's ex-wife is hurt.	A girl's ex-wife is disagreed.	-91.0	-90.5	-11.375	-11.3125	False	False	syntax	argument_structure	Write a natural, coherent English sentence.
