sent_id	layer	sentence_good	sentence_bad	sent1_logprob	sent2_logprob	sent1_avg_logprob	sent2_avg_logprob	sent1_logprob_greater	sent1_avg_logprob_greater	field	linguistics_term	instruction
0	1	Kayla concealed who a lot of guests that were scaring many people complain about.	Kayla concealed that a lot of guests that were scaring many people complain about.	-748.0	-748.0	-44.0	-44.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
1	1	Martin did find out what every cashier that shouldn't drink wore.	Martin did find out that every cashier that shouldn't drink wore.	-616.0	-608.0	-44.0	-43.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
2	1	The Borgias haven't figured out what blouses that have disgusted Kenneth look like.	The Borgias haven't figured out that blouses that have disgusted Kenneth look like.	-808.0	-796.0	-47.5	-46.75	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
3	1	Colleen has revealed what every print that isn't existing looked like.	Colleen has revealed that every print that isn't existing looked like.	-684.0	-644.0	-45.5	-42.75	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
4	1	All banks forget what many steps that couldn't irritate Carrie resemble.	All banks forget that many steps that couldn't irritate Carrie resemble.	-704.0	-640.0	-50.25	-45.75	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
5	1	Some pedestrians haven't realized who those ladies that alarms Samantha had boasted about.	Some pedestrians haven't realized that those ladies that alarms Samantha had boasted about.	-716.0	-716.0	-44.75	-44.75	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
6	1	A waiter has realized who all hospitals that protested listened to.	A waiter has realized that all hospitals that protested listened to.	-510.0	-508.0	-42.5	-42.25	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
7	1	That actor had found out what all men that had ascended every hill dislike.	That actor had found out that all men that had ascended every hill dislike.	-696.0	-684.0	-46.5	-45.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
8	1	The school forgets who every legislature that astounded Heather references.	The school forgets that every legislature that astounded Heather references.	-572.0	-572.0	-47.5	-47.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
9	1	All universities discover what some actress that isn't speaking up had gone to.	All universities discover that some actress that isn't speaking up had gone to.	-768.0	-716.0	-48.0	-44.75	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
10	1	Carmen discovered who many cashiers that have sold every report returned to.	Carmen discovered that many cashiers that have sold every report returned to.	-652.0	-656.0	-46.5	-46.75	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
11	1	Stacy wasn't remembering who the banks that have vanished can't boast about.	Stacy wasn't remembering that the banks that have vanished can't boast about.	-700.0	-700.0	-38.75	-39.0	False	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
12	1	Phillip forgot what some senator that was escaping from Stacy goes to.	Phillip forgot that some senator that was escaping from Stacy goes to.	-664.0	-608.0	-47.5	-43.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
13	1	Tara had figured out who the teenagers that marry won't boast about.	Tara had figured out that the teenagers that marry won't boast about.	-592.0	-604.0	-39.5	-40.25	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
14	1	Many teenagers realized who these teenagers that shouldn't surrender wouldn't listen to.	Many teenagers realized that these teenagers that shouldn't surrender wouldn't listen to.	-728.0	-724.0	-43.0	-42.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
15	1	Steve doesn't discover what the university that doesn't fight argued about.	Steve doesn't discover that the university that doesn't fight argued about.	-700.0	-656.0	-43.75	-41.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
16	1	Some lady is finding out who some photographs that can't aggravate Sheila haven't looked like.	Some lady is finding out that some photographs that can't aggravate Sheila haven't looked like.	-888.0	-896.0	-44.25	-44.75	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
17	1	Joseph found out who many doctors that had littered revealed.	Joseph found out that many doctors that had littered revealed.	-460.0	-466.0	-41.75	-42.5	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
18	1	Leslie concealed what patients that are changing weren't lifting.	Leslie concealed that patients that are changing weren't lifting.	-580.0	-536.0	-48.25	-44.75	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
19	1	Tara could learn what the waitress that lifts many hospitals biked to.	Tara could learn that the waitress that lifts many hospitals biked to.	-716.0	-672.0	-51.25	-48.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
20	1	All people figure out what that guy that has existed wore.	All people figure out that that guy that has existed wore.	-580.0	-568.0	-48.25	-47.25	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
21	1	Rachel hasn't learned who every museum that isn't replying was listening to.	Rachel hasn't learned that every museum that isn't replying was listening to.	-664.0	-660.0	-39.0	-39.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
22	1	This waitress hasn't figured out who a hospital that can't sell a lot of bicycles shouldn't listen to.	This waitress hasn't figured out that a hospital that can't sell a lot of bicycles shouldn't listen to.	-964.0	-976.0	-38.5	-39.0	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
23	1	Most patients have remembered who a lot of committees that shouldn't interact do dislike.	Most patients have remembered that a lot of committees that shouldn't interact do dislike.	-700.0	-704.0	-41.25	-41.5	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
24	1	Steve does discover who a lot of schools that couldn't lie have talked to.	Steve does discover that a lot of schools that couldn't lie have talked to.	-672.0	-680.0	-39.5	-40.0	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
25	1	Angela finds out what most universities that hadn't changed hadn't disliked.	Angela finds out that most universities that hadn't changed hadn't disliked.	-712.0	-696.0	-44.5	-43.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
26	1	Cindy figures out who these teenagers that scratch found.	Cindy figures out that these teenagers that scratch found.	-478.0	-490.0	-47.75	-49.0	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
27	1	All organizations discover what the adult that had fallen asleep was wearing.	All organizations discover that the adult that had fallen asleep was wearing.	-620.0	-572.0	-47.5	-44.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
28	1	Kenneth investigated who the cashiers that perform cared for.	Kenneth investigated that the cashiers that perform cared for.	-474.0	-484.0	-43.0	-44.0	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
29	1	Dana wasn't discovering what some oxen that fall find.	Dana wasn't discovering that some oxen that fall find.	-632.0	-576.0	-52.5	-48.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
30	1	Guy isn't remembering what all deer that don't escape find.	Guy isn't remembering that all deer that don't escape find.	-692.0	-640.0	-46.25	-42.75	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
31	1	Veronica forgot what the student that worries goes to.	Veronica forgot that the student that worries goes to.	-480.0	-434.0	-48.0	-43.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
32	1	Guy concealed what every guy that will remember Ann dropped by.	Guy concealed that every guy that will remember Ann dropped by.	-620.0	-584.0	-51.75	-48.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
33	1	Robert investigates who a customer that jokes around conceals.	Robert investigates that a customer that jokes around conceals.	-532.0	-544.0	-48.25	-49.5	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
34	1	Frank can't discover what some customers that arrive at some schools drop by.	Frank can't discover that some customers that arrive at some schools drop by.	-776.0	-724.0	-48.5	-45.25	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
35	1	Many universities discover what all photographs that might worry Kevin aren't looking like.	Many universities discover that all photographs that might worry Kevin aren't looking like.	-864.0	-816.0	-54.0	-51.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
36	1	John could conceal who this customer that did scare Lori hadn't sounded like.	John could conceal that this customer that did scare Lori hadn't sounded like.	-692.0	-688.0	-43.25	-43.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
37	1	William wasn't remembering who some adults that weren't listening to Jeffrey might escape from.	William wasn't remembering that some adults that weren't listening to Jeffrey might escape from.	-860.0	-856.0	-45.25	-45.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
38	1	Craig had realized what a man that might talk about the woman drove to.	Craig had realized that a man that might talk about the woman drove to.	-672.0	-632.0	-45.0	-42.0	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
39	1	Anna hasn't discovered who every customer that died could complain about.	Anna hasn't discovered that every customer that died could complain about.	-548.0	-552.0	-39.0	-39.5	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
40	1	Erin knows who that man that didn't go fishing escapes from.	Erin knows that that man that didn't go fishing escapes from.	-568.0	-556.0	-40.5	-39.75	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
41	1	Many men remember who many guests that were concurring shouldn't complain about.	Many men remember that many guests that were concurring shouldn't complain about.	-652.0	-648.0	-43.25	-43.25	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
42	1	These schools forget who every guest that sounds like Rachel talks about.	These schools forget that every guest that sounds like Rachel talks about.	-592.0	-592.0	-45.5	-45.5	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
43	1	Lori revealed who those theses that boast about Wayne haven't boasted about.	Lori revealed that those theses that boast about Wayne haven't boasted about.	-656.0	-660.0	-41.0	-41.25	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
44	1	Emily investigated what this boy that does complain admires.	Emily investigated that this boy that does complain admires.	-500.0	-452.0	-50.0	-45.25	False	False	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
45	1	The girls shouldn't investigate who a teacher that should research these universities hadn't talked to.	The girls shouldn't investigate that a teacher that should research these universities hadn't talked to.	-812.0	-824.0	-40.75	-41.25	True	True	syntax	filler_gap_dependency	Write a natural, coherent English sentence.
